"ID","run_date","run_minutes","states","completeness","AIC","AICc","coef.det","sigma","df","logLik","convergence","errors","Q.diag","Q.offdiag","R.diag","U.1"
41.2018,2024-11-24,28.7396551807721,36,0.9,1287.73398741927,1416.80375486113,0.906346613570453,69.9219999719877,74,-569.866993709637,10,1,"0.0034601012228585","N/A",69.4792600673067,"N/A"
41.2019,2024-11-24,1.44834923346837,36,0.9,2066.97673280621,2139.52575241405,0.717030827963078,251.103931371571,74,-959.488366403104,0,0,"74.499668263593","N/A",2.4333159520799,"N/A"
41.2021,2024-11-24,1.00552931626638,36,0.9,3211.3561588717,3252.46726998281,0.673260127025636,486.942430246746,74,-1531.67807943585,0,0,"132.036282642305","N/A",3.87153724813592,"N/A"
41.2024,2024-11-24,47.2511400183042,36,0.9,3615.58721474225,3646.16572713895,0.902828212808297,140.600458646264,74,-1733.79360737113,10,1,"63.2529677039712","N/A",0.0662340905531398,"N/A"
40.2018,2024-11-24,10.5503603855769,36,0.9,1237.06566140612,1371.18330846495,0.892909480291033,82.4714413132287,75,-543.532830703062,0,0,"19.879810515333","19.872911765785",41.2994038044615,"N/A"
40.2019,2024-11-24,15.2933711489042,36,0.9,1841.91794790092,1916.91794790092,0.796499131998678,175.882424629258,75,-845.958973950458,0,0,"43.953646351855","43.9459381618587",83.1102730931057,"N/A"
40.2021,2024-11-24,0.884481982390086,36,0.9,3100.58287459812,3142.96205675426,0.679416913363115,493.352068890896,75,-1475.29143729906,0,0,"128.701388556751","44.6706842240762",5.84069113585237,"N/A"
40.2024,2024-11-24,47.17807041804,36,0.9,3441.02115281481,3472.512865522,0.903091233407612,139.161429223081,75,-1645.51057640741,10,1,"63.304012491058","24.8028962332739",0.07282679536028,"N/A"
39.2018,2024-11-24,32.332768368721,36,0.9,1183.10675624986,1653.30283468124,0.905933364131633,73.4076617629221,109,-482.553378124931,10,1,"N/A","N/A",0.903394864136421,"N/A"
39.2019,2024-11-24,35.019432202975,36,0.9,1883.03970968836,2086.26004867141,0.717079247725209,251.180297066756,109,-832.519854844178,10,1,"N/A","N/A",2.28485007370113,"N/A"
39.2021,2024-11-24,44.2594482302666,36,0.9,2734.65103503292,2836.69358822441,0.673943654037793,486.330498789449,109,-1258.32551751646,10,1,"N/A","N/A",0.446302336990264,"N/A"
39.2024,2024-11-24,4.58196599880854,36,0.9,3246.33750375682,3319.44725985438,0.902679571289015,140.811362758461,109,-1514.16875187841,0,0,"N/A","N/A",0.284686311376201,"N/A"
