term,estimate,std.error,conf.low,conf.up,,Rmin,Rmax,Ravg,Umin,Umax,Uavg
"R.(Y1,Y1)",515.3184062,243.9121634,37.25935051,993.3774619,,0.000979029,3167.487617,407.4248251,-2.395646996,1.569456911,-0.26195417
"R.(Y2,Y2)",606.7271419,456.362571,-287.7270612,1501.181345,,,,,,,
"R.(Y3,Y3)",0.004044668,0.721437115,-1.409946095,1.418035431,,,,,,,
"R.(Y4,Y4)",260.0159898,143.3664114,-20.97701321,541.0089928,,,,,,,
"R.(Y5,Y5)",0.294024079,0.795716613,-1.265551824,1.853599982,,,,,,,
"R.(Y6,Y6)",2.080187527,2.014542702,-1.868243615,6.028618668,,,,,,,
"R.(Y7,Y7)",960.7861967,424.6348599,128.5171648,1793.055229,,,,,,,
"R.(Y8,Y8)",10.20842042,6.421415735,-2.377323154,22.79416399,,,,,,,
"R.(Y9,Y9)",5.726278883,4.274402331,-2.651395741,14.10395351,,,,,,,
"R.(Y10,Y10)",1.017484084,1.624050874,-2.165597137,4.200565305,,,,,,,
"R.(Y11,Y11)",3.156095221,2.675101548,-2.087007469,8.399197911,,,,,,,
"R.(Y12,Y12)",0.001722043,0.890721198,-1.744059426,1.747503512,,,,,,,
"R.(Y13,Y13)",147.2182955,73.55361658,3.055856076,291.3807349,,,,,,,
"R.(Y14,Y14)",24.25813968,14.19926858,-3.571915336,52.0881947,,,,,,,
"R.(Y15,Y15)",1074.146328,473.8142096,145.4875422,2002.805115,,,,,,,
"R.(Y16,Y16)",0.002181513,0.845315354,-1.654606136,1.658969162,,,,,,,
"R.(Y17,Y17)",373.706381,257.8310768,-131.6332437,879.0460056,,,,,,,
"R.(Y18,Y18)",1073.784552,497.3304665,99.03474901,2048.534355,,,,,,,
"R.(Y19,Y19)",14.63688411,8.79869793,-2.60824694,31.88201517,,,,,,,
"R.(Y20,Y20)",75.8231664,39.42581202,-1.45000522,153.096338,,,,,,,
"R.(Y21,Y21)",3.098341545,2.838480245,-2.464977507,8.661660596,,,,,,,
"R.(Y22,Y22)",8.657972856,5.675370786,-2.465549484,19.7814952,,,,,,,
"R.(Y23,Y23)",479.0235961,227.4077949,33.31250835,924.7346838,,,,,,,
"R.(Y24,Y24)",578.7375693,288.3975092,13.48883813,1143.986301,,,,,,,
"R.(Y25,Y25)",0.988598609,1.444811587,-1.843180066,3.820377283,,,,,,,
"R.(Y26,Y26)",0.001222416,0.90317019,-1.768958628,1.771403461,,,,,,,
"R.(Y27,Y27)",3167.487617,1436.938375,351.1401536,5983.835081,,,,,,,
"R.(Y28,Y28)",242.4893856,133.9759738,-20.09869777,505.0774689,,,,,,,
"R.(Y29,Y29)",179.9378252,100.3203177,-16.68638444,376.5620348,,,,,,,
"R.(Y30,Y30)",847.2106838,417.1429986,29.62543017,1664.795937,,,,,,,
"R.(Y31,Y31)",721.4568487,337.6164362,59.74079328,1383.172904,,,,,,,
"R.(Y32,Y32)",670.3415165,448.1716077,-208.0586934,1548.741726,,,,,,,
"R.(Y33,Y33)",0.001372868,0.968060575,-1.895990994,1.89873673,,,,,,,
"R.(Y34,Y34)",0.000979029,0.915485249,-1.793339088,1.795297147,,,,,,,
"R.(Y35,Y35)",1978.319515,1166.757893,-308.483935,4265.122965,,,,,,,
"R.(Y36,Y36)",815.996256,380.7122688,69.81392066,1562.178591,,,,,,,
"R.(Y37,Y37)",487.1400268,231.4252172,33.55493607,940.7251176,,,,,,,
"R.(Y38,Y38)",152.3421052,76.23842017,2.917547455,301.766663,,,,,,,
U.X.Y1,0.18489232,1.135283148,-2.040221763,2.410006402,,,,,,,
U.X.Y2,-1.274374949,1.351423816,-3.923116956,1.374367058,,,,,,,
U.X.Y3,-0.467357858,0.569767811,-1.584082248,0.649366532,,,,,,,
U.X.Y4,-0.721668782,0.879110003,-2.444692727,1.001355162,,,,,,,
U.X.Y5,-0.042038628,0.569678194,-1.15858737,1.074510114,,,,,,,
U.X.Y6,-0.114127745,0.577618901,-1.246239987,1.017984498,,,,,,,
U.X.Y7,1.29869266,1.370750125,-1.387928218,3.985313537,,,,,,,
U.X.Y8,-0.511418964,0.592383846,-1.672469966,0.649632039,,,,,,,
U.X.Y9,-0.517486588,0.586029762,-1.666083816,0.63111064,,,,,,,
