term,estimate,std.error,conf.low,conf.up,,Rmin,Rmax,Ravg,Umin,Umax,Uavg
"R.(Y27,Y27)",3659.694635,1647.991414,429.6908162,6889.698453,,,,,,,
"R.(Y28,Y28)",395.8736585,207.6467137,-11.10642199,802.8537389,,,,,,,
"R.(Y29,Y29)",230.3728921,123.177703,-11.05096951,471.7967537,,,,,,,
"R.(Y30,Y30)",1034.945356,498.8298627,57.25679065,2012.633921,,,,,,,
"R.(Y31,Y31)",909.7389672,416.588386,93.24073437,1726.2372,,,,,,,
"R.(Y32,Y32)",833.1601334,540.9354705,-227.0539067,1893.374174,,,,,,,
"R.(Y33,Y33)",16.06987883,9.540505053,-2.629167469,34.76892513,,,,,,,
"R.(Y34,Y34)",5.882027351,3.734112701,-1.436699057,13.20075376,,,,,,,
"R.(Y35,Y35)",2353.285738,1372.152762,-336.0842554,5042.655732,,,,,,,
"R.(Y36,Y36)",1136.203134,518.0283938,120.8861389,2151.520128,,,,,,,
"R.(Y37,Y37)",742.5467166,341.3646017,73.48439165,1411.609042,,,,,,,
"R.(Y38,Y38)",308.2802796,145.2219996,23.65039057,592.9101686,,,,,,,
U.X.Y1,0.251318262,1.234899122,-2.169039541,2.671676065,,,,,,,
U.X.Y2,-1.496374585,1.418517879,-4.276618538,1.283869368,,,,,,,
U.X.Y3,-0.345668673,0.377179469,-1.084926847,0.393589502,,,,,,,
U.X.Y4,-0.713352006,0.891377796,-2.460420382,1.033716371,,,,,,,
U.X.Y5,0.010962473,0.40651738,-0.785796951,0.807721897,,,,,,,
U.X.Y6,-0.146315857,0.187371878,-0.513557991,0.220926276,,,,,,,
U.X.Y7,1.366436685,1.445646177,-1.466977755,4.199851126,,,,,,,
U.X.Y8,-0.375288867,0.425404119,-1.20906562,0.458487886,,,,,,,
U.X.Y9,-0.504971819,0.490019189,-1.465391781,0.455448144,,,,,,,
U.X.Y10,0.104054984,0.277862963,-0.440546417,0.648656384,,,,,,,
U.X.Y11,-0.219585544,0.338491002,-0.883015718,0.443844629,,,,,,,
U.X.Y12,-0.367635331,0.311123794,-0.977426762,0.2421561,,,,,,,
U.X.Y13,0.478758156,0.722588465,-0.93748921,1.895005522,,,,,,,
U.X.Y14,-0.234238006,0.513700368,-1.241072226,0.772596214,,,,,,,
U.X.Y15,-0.837418306,1.542601319,-3.860861333,2.186024721,,,,,,,
U.X.Y16,-0.052562785,0.196744511,-0.43817494,0.33304937,,,,,,,
U.X.Y17,-1.458754545,1.20734339,-3.825104107,0.907595017,,,,,,,
U.X.Y18,1.377536668,1.676691332,-1.908717957,4.663791292,,,,,,,
U.X.Y19,-0.022651575,0.193739507,-0.402374032,0.357070882,,,,,,,
U.X.Y20,0.701127693,0.619493133,-0.513056537,1.915311923,,,,,,,
U.X.Y21,-0.23832696,0.208315981,-0.646618781,0.169964861,,,,,,,
U.X.Y22,-0.136945519,0.189252655,-0.507873908,0.23398287,,,,,,,
U.X.Y23,-1.367034813,1.179116456,-3.6780606,0.943990974,,,,,,,
U.X.Y24,-0.997978376,1.378791944,-3.700360928,1.704404177,,,,,,,
U.X.Y25,-0.445987714,0.193400644,-0.825046009,-0.066929418,,,,,,,
U.X.Y26,-0.313624246,0.196816576,-0.699377647,0.072129154,,,,,,,
U.X.Y27,0.645907721,2.728283771,-4.70143021,5.993245652,,,,,,,
U.X.Y28,-1.060481104,0.953126416,-2.928574552,0.807612345,,,,,,,
U.X.Y29,-0.603880318,0.890076404,-2.348398013,1.140637377,,,,,,,
U.X.Y30,-2.574421553,1.480341796,-5.475838157,0.326995052,,,,,,,
U.X.Y31,-0.399637682,1.372503494,-3.0896951,2.290419736,,,,,,,
U.X.Y32,-2.514185091,1.580238028,-5.611394713,0.583024531,,,,,,,
U.X.Y33,-0.597189643,0.299114619,-1.183443524,-0.010935763,,,,,,,
U.X.Y34,-0.342154847,0.236015816,-0.804737346,0.120427652,,,,,,,
U.X.Y35,-2.110047558,2.632219597,-7.269103166,3.049008051,,,,,,,
U.X.Y36,1.074170097,1.356754226,-1.585019322,3.733359516,,,,,,,
U.X.Y37,0.321039285,1.103427246,-1.841638376,2.483716945,,,,,,,
U.X.Y38,-0.025897337,0.728988423,-1.454688392,1.402893717,,,,,,,
Q.diag,0.823707396,0.228495377,0.375864687,1.271550105,,,,,,,
x0.X.Y1,53.00548658,38.71628811,-22.87704373,128.8880169,,,,,,,
x0.X.Y2,77.9052629,41.90202465,-4.221196299,160.0317221,,,,,,,
x0.X.Y3,48.21498405,12.01739917,24.66131449,71.76865361,,,,,,,
x0.X.Y4,53.37031005,28.30603045,-2.108490191,108.8491103,,,,,,,
x0.X.Y5,27.29546839,12.97545069,1.864052345,52.72688443,,,,,,,
x0.X.Y6,48.27746573,5.524496203,37.44965214,59.10527932,,,,,,,
x0.X.Y7,6.14136043,46.57980881,-85.15338724,97.4361081,,,,,,,
x0.X.Y8,66.93576195,13.5861139,40.30746803,93.56405588,,,,,,,
x0.X.Y9,81.9265366,15.0099447,52.50758557,111.3454876,,,,,,,
x0.X.Y10,23.41336202,8.659437242,6.441176904,40.38554715,,,,,,,
x0.X.Y11,50.99584272,10.74589856,29.93426856,72.05741689,,,,,,,
x0.X.Y12,32.36566086,9.830239216,13.09874604,51.63257569,,,,,,,
x0.X.Y13,30.58323491,22.80302326,-14.10986941,75.27633923,,,,,,,
x0.X.Y14,44.66569398,16.19074679,12.93241339,76.39897458,,,,,,,
x0.X.Y15,136.3248527,49.8295372,38.66075442,233.988951,,,,,,,
x0.X.Y16,3.676091521,6.143681661,-8.365303268,15.71748631,,,,,,,
x0.X.Y17,97.0448401,36.69897596,25.11616894,168.9735112,,,,,,,
x0.X.Y18,32.4014213,55.55414618,-76.48270441,141.285547,,,,,,,
x0.X.Y19,-5.299748363,6.117116523,-17.28907644,6.689579711,,,,,,,
x0.X.Y20,-4.168163361,20.4558082,-44.26081071,35.92448399,,,,,,,
x0.X.Y21,68.070084,6.606727132,55.12113676,81.01903123,,,,,,,
x0.X.Y22,5.517671921,5.95472363,-6.153371932,17.18871577,,,,,,,
x0.X.Y23,109.1525741,39.04036448,32.6348658,185.6702824,,,,,,,
x0.X.Y24,106.5307224,44.52589293,19.26157582,193.7998689,,,,,,,
x0.X.Y25,63.94183024,6.019141827,52.14452904,75.73913144,,,,,,,
x0.X.Y26,58.82130824,6.072196644,46.92002151,70.72259497,,,,,,,
x0.X.Y27,125.3069999,90.43318956,-51.93879463,302.5527945,,,,,,,
x0.X.Y28,84.53915831,30.97164419,23.83585117,145.2424655,,,,,,,
