term,estimate,std.error,conf.low,conf.up,,Qmin,Qmax
"Q.(X.Y1,X.Y1)",369.9651667,151.0376468,73.93681858,665.9935147,,0.400433333,1548.780451
"Q.(X.Y2,X.Y2)",1548.780451,894.1888105,-203.7974126,3301.358315,,,
"Q.(X.Y3,X.Y3)",24.1866,9.874138102,4.833644941,43.53955506,,,
"Q.(X.Y4,X.Y4)",74.1589775,37.07948875,1.484514985,146.83344,,,
"Q.(X.Y5,X.Y5)",258.2426212,210.8542173,-155.0240506,671.5092931,,,
"Q.(X.Y6,X.Y6)",1499.513235,1060.315977,-578.667892,3577.694362,,,
"Q.(X.Y7,X.Y7)",25.954825,10.59601294,5.187021267,46.72262873,,,
"Q.(X.Y8,X.Y8)",129.4431803,91.53015054,-49.9526183,308.8389788,,,
"Q.(X.Y9,X.Y9)",8.781325,3.584960919,1.754930712,15.80771929,,,
"Q.(X.Y10,X.Y10)",2.873178379,2.873178379,-2.758147765,8.504504522,,,
"Q.(X.Y11,X.Y11)",108.86242,68.85063975,-26.08235424,243.8071942,,,
"Q.(X.Y12,X.Y12)",317.367475,141.9310496,39.18772952,595.5472205,,,
"Q.(X.Y13,X.Y13)",478.8667122,338.6098995,-184.7964956,1142.52992,,,
"Q.(X.Y14,X.Y14)",344.0101727,146.6864305,56.51005189,631.5102936,,,
"Q.(X.Y15,X.Y15)",59.1317,24.14041544,11.81735517,106.4460448,,,
"Q.(X.Y16,X.Y16)",38.86488333,15.86652218,7.767071301,69.96269537,,,
"Q.(X.Y17,X.Y17)",8.256483333,3.370695206,1.650042127,14.86292454,,,
"Q.(X.Y18,X.Y18)",1080.381329,683.2931482,-258.8486324,2419.61129,,,
"Q.(X.Y19,X.Y19)",828.3972899,523.9244487,-198.4757602,1855.27034,,,
"Q.(X.Y20,X.Y20)",956.4287024,604.8986238,-229.1508146,2142.008219,,,
"Q.(X.Y21,X.Y21)",134.3819611,63.34826398,10.22164523,258.542277,,,
"Q.(X.Y22,X.Y22)",53.46705833,21.82783516,10.68528756,96.24882911,,,
"Q.(X.Y23,X.Y23)",12.01950909,5.125135897,1.974427317,22.06459086,,,
"Q.(X.Y24,X.Y24)",35.60788333,14.5368575,7.116166189,64.09960048,,,
"Q.(X.Y25,X.Y25)",26.97046667,11.01064691,5.389995277,48.55093806,,,
"Q.(X.Y26,X.Y26)",141.0763333,57.59417191,28.19383067,253.958836,,,
"Q.(X.Y27,X.Y27)",6.484275,2.647194184,1.29586974,11.67268026,,,
"Q.(X.Y28,X.Y28)",309.13808,195.5160888,-74.06641255,692.3425725,,,
"Q.(X.Y29,X.Y29)",128.1458917,52.3153412,25.60970707,230.6820763,,,
"Q.(X.Y30,X.Y30)",13.45207273,5.735983084,2.209752467,24.69439299,,,
"Q.(X.Y31,X.Y31)",36.3949,14.85815571,7.273449938,65.51635006,,,
"Q.(X.Y32,X.Y32)",789.7605424,499.488424,-189.2187794,1768.739864,,,
"Q.(X.Y33,X.Y33)",14.05421667,5.737609928,2.80870785,25.29972548,,,
"Q.(X.Y34,X.Y34)",0.400433333,0.163476224,0.080025822,0.720840844,,,
"Q.(X.Y35,X.Y35)",7.066036438,7.066036438,-6.783140493,20.91521337,,,
"Q.(X.Y36,X.Y36)",133.4586917,54.48428272,26.67145981,240.2459235,,,
"Q.(X.Y37,X.Y37)",360.8975025,228.2516219,-86.46745593,808.2624609,,,
"Q.(X.Y38,X.Y38)",114.6179409,48.87325422,18.82812283,210.407759,,,
"Q.(X.Y39,X.Y39)",27.286775,11.13977925,5.453208882,49.12034112,,,
"Q.(X.Y40,X.Y40)",4.088344444,1.927264054,0.310976311,7.865712578,,,
"Q.(X.Y41,X.Y41)",429.6636273,183.2091863,70.58022058,788.747034,,,
"Q.(X.Y42,X.Y42)",177.1769045,75.54848594,29.10459301,325.2492161,,,
"Q.(X.Y43,X.Y43)",126.1910583,51.51728384,25.21903743,227.1630792,,,
"Q.(X.Y44,X.Y44)",135.7040583,55.40094982,27.12019197,244.2879247,,,
"Q.(X.Y45,X.Y45)",2.262966667,0.923852273,0.452249484,4.073683849,,,
"Q.(X.Y46,X.Y46)",571.0348429,329.6871202,-75.14003898,1217.209725,,,
"Q.(X.Y47,X.Y47)",34.35209545,14.64778272,5.642968873,63.06122204,,,
"Q.(X.Y48,X.Y48)",28.68341667,11.70995582,5.732325001,51.63450833,,,
"Q.(X.Y49,X.Y49)",1012.994886,431.9424709,166.4032001,1859.586573,,,
"Q.(X.Y50,X.Y50)",221.0301636,94.24757845,36.30830425,405.752023,,,
"Q.(X.Y51,X.Y51)",267.1036636,113.8933849,43.87673124,490.330596,,,
"Q.(X.Y52,X.Y52)",83.97444545,35.80682385,13.7943603,154.1545306,,,
x0.X.Y1,2.155,19.23447859,-35.5438853,39.8538853,,,
x0.X.Y2,1.7287,39.35454804,-75.40479679,78.86219679,,,
x0.X.Y3,16.64,4.917987393,7.000921833,26.27907817,,,
x0.X.Y4,11.225,8.611560689,-5.653348801,28.1033488,,,
x0.X.Y5,32.7975,16.0699291,1.301017732,64.29398227,,,
x0.X.Y6,1.32,38.72354884,-74.57676108,77.21676108,,,
x0.X.Y7,9.585,5.094587815,-0.400208633,19.57020863,,,
x0.X.Y8,11.6238,11.37730989,-10.67531762,33.92291762,,,
x0.X.Y9,27.785,2.963330052,21.97697982,33.59302018,,,
x0.X.Y10,48.72168395,3.79023639,41.29295713,56.15041077,,,
x0.X.Y11,27.235,10.43371554,6.785293315,47.68470669,,,
x0.X.Y12,13.5,17.81481055,-21.41638707,48.41638707,,,
x0.X.Y13,12.505,21.88302338,-30.38493769,55.39493769,,,
x0.X.Y14,2.855,18.54751123,-33.49745401,39.20745401,,,
x0.X.Y15,26.045,7.689713909,10.97343769,41.11656231,,,
x0.X.Y16,41.385,6.234170621,29.16625011,53.60374989,,,
x0.X.Y17,12.07,2.873409705,6.438220465,17.70177953,,,
x0.X.Y18,6.5112,32.86915467,-57.91115936,70.93355936,,,
x0.X.Y19,40.85,28.7818917,-15.56147114,97.26147114,,,
x0.X.Y20,23.88,30.9261815,-36.73420193,84.49420193,,,
x0.X.Y21,51.395,11.59232337,28.6744637,74.1155363,,,
x0.X.Y22,26.2,7.312117226,11.86851359,40.53148641,,,
x0.X.Y23,8.265,3.466916366,1.469968785,15.06003122,,,
x0.X.Y24,18.895,5.967234144,7.19943599,30.59056401,,,
x0.X.Y25,16.89,5.193309799,6.711299834,27.06870017,,,
x0.X.Y26,69.22,11.87755587,45.94041828,92.49958172,,,
x0.X.Y27,6.84,2.546423963,1.849100743,11.83089926,,,
x0.X.Y28,5.965,17.58232294,-28.49571973,40.42571973,,,
x0.X.Y29,0.41,11.32015422,-21.77709458,22.59709458,,,
x0.X.Y30,-5.1,3.66770674,-12.28857312,2.088573115,,,
x0.X.Y31,-15.82,6.032818578,-27.64410714,-3.995892861,,,
x0.X.Y32,19.95,28.10267856,-35.13023785,75.03023785,,,
x0.X.Y33,34.675,3.748895393,27.32730005,42.02269995,,,
x0.X.Y34,-1.25,0.632798019,-2.490261327,-0.009738673,,,
x0.X.Y35,48.61,2.65820173,43.40002035,53.81997965,,,
x0.X.Y36,8.01,11.55243228,-14.63235121,30.65235121,,,
x0.X.Y37,43.225,18.99730251,5.990971287,80.45902871,,,
x0.X.Y38,9.395,10.70597688,-11.5883291,30.3783291,,,
x0.X.Y39,17.805,5.223674473,7.566786166,28.04321383,,,
x0.X.Y40,43.96999882,3.502146961,37.10591691,50.83408073,,,
x0.X.Y41,26.73,20.7283291,-13.8967785,67.3567785,,,
x0.X.Y42,0.67,13.31078152,-25.41865238,26.75865238,,,
x0.X.Y43,-14.1825,11.23347935,-36.19971495,7.834714949,,,
x0.X.Y44,-27.3625,11.64920849,-50.19452908,-4.53047092,,,
x0.X.Y45,-0.705,1.504316013,-3.653405207,2.243405207,,,
x0.X.Y46,1.895,23.89633534,-44.94095664,48.73095664,,,
x0.X.Y47,-0.635,5.861066068,-12.1224784,10.8524784,,,
x0.X.Y48,16.51,5.35569012,6.013040251,27.00695975,,,
x0.X.Y49,3.61,31.82758059,-58.77091168,65.99091168,,,
