term,estimate,std.error,conf.low,conf.up,,,,Rmin,Rmax,Ravg
"R.(Y1,Y1)",810.331392,373.3466633,78.5853783,1542.077406,EEF-1,1,,0.001271837,3677.339295,584.7078383
"R.(Y2,Y2)",1025.089301,744.7119326,-434.5192657,2484.697868,EEF-XA3S,2,,,,
"R.(Y3,Y3)",65.48065264,31.48902479,3.763298138,127.1980071,EER-1,3,,,,
"R.(Y4,Y4)",74.43275904,35.06086368,5.714728948,143.1507891,EFF-XA2N,4,,,,
"R.(Y5,Y5)",0.001564692,0.51852038,-1.014716577,1.017845961,EFR-XB1S,5,,,,
"R.(Y6,Y6)",1384.439056,601.7458707,205.0388216,2563.839291,EHF-XB7S,6,,,,
"R.(Y7,Y7)",91.82658884,43.53538403,6.498804093,177.1543736,EHR-1,7,,,,
"R.(Y8,Y8)",106.0807929,55.66549691,-3.021576191,215.183162,EHR-XB1N,8,,,,
"R.(Y9,Y9)",19.27140732,10.37375606,-1.060780938,39.60359558,EHR-XB2N,9,,,,
"R.(Y10,Y10)",46.70655535,22.99462635,1.637915867,91.77519484,EWF-XA1N,10,,,,
"R.(Y11,Y11)",37.87036823,19.06097052,0.511552502,75.22918397,EWR-1,11,,,,
"R.(Y12,Y12)",288.6726836,136.671097,20.80225569,556.5431116,EWR-XB3N,12,,,,
"R.(Y13,Y13)",130.0239908,63.78098893,5.015549584,255.032432,EWR-XB4N,13,,,,
"R.(Y14,Y14)",1484.370427,644.7679318,220.6485027,2748.092352,EWT-1,14,,,,
"R.(Y15,Y15)",0.026310762,0.540981686,-1.033993859,1.086615384,KEF-1,15,,,,
"R.(Y16,Y16)",623.1517923,411.2388717,-182.8615852,1429.16517,KER-1,16,,,,
"R.(Y17,Y17)",1462.38461,666.8149354,155.4513521,2769.317868,KER-XD5N,17,,,,
"R.(Y18,Y18)",0.339346708,0.786509831,-1.202184233,1.88087765,KER-XE3S,18,,,,
"R.(Y19,Y19)",186.3444062,89.34970653,11.22219941,361.4666131,KET-1,19,,,,
"R.(Y20,Y20)",1.649387626,1.453655018,-1.199723855,4.498499107,KFR-XE1S,20,,,,
"R.(Y21,Y21)",0.00142924,0.59448717,-1.163744203,1.166602683,KFR-XE2S,21,,,,
"R.(Y22,Y22)",756.5726146,349.6447968,71.28140549,1441.863824,KHF-1,22,,,,
"R.(Y23,Y23)",848.9510369,412.7072711,40.05964934,1657.842424,KHR-1,23,,,,
"R.(Y24,Y24)",0.004020449,0.557135748,-1.087945552,1.09598645,KHR-XD1N,24,,,,
"R.(Y25,Y25)",0.001271837,0.604664463,-1.183848733,1.186392406,KHR-XD1S,25,,,,
"R.(Y26,Y26)",3677.339295,1658.934267,425.8878793,6928.79071,KHT-XD6N,26,,,,
"R.(Y27,Y27)",458.5511646,241.1617042,-14.11709012,931.2194193,KHT-XE4S,27,,,,
"R.(Y28,Y28)",244.4925512,131.3773746,-13.00237138,501.9874737,KHT-XE5S,28,,,,
"R.(Y29,Y29)",1384.911649,666.9726252,77.66932485,2692.153973,KHT-XE6S,29,,,,
"R.(Y30,Y30)",919.7924385,422.9762976,90.77412897,1748.810748,KWF-1,30,,,,
"R.(Y31,Y31)",22.7505704,13.53634946,-3.780187017,49.28132782,KWR-1,31,,,,
"R.(Y32,Y32)",5.116001064,3.535700396,-1.813844373,12.0458465,KWR-XE1N,32,,,,
"R.(Y33,Y33)",2625.386445,1533.194031,-379.6186368,5630.391526,KWT-1,33,,,,
"R.(Y34,Y34)",1208.101481,552.2834613,125.6457879,2290.557175,LET-1,34,,,,
"R.(Y35,Y35)",750.4215182,346.5011763,71.291692,1429.551344,LHT-1,35,,,,
"R.(Y36,Y36)",308.5952985,145.9613052,22.51639724,594.6741999,LWT-1,36,,,,
Q.diag,1.076780974,0.286676666,0.514905035,1.638656914,,,,,,
x0.X.Y1,60.50226261,10.45134798,40.01799698,80.98652825,,,,,,
x0.X.Y2,36.55859138,16.76105969,3.707518053,69.40966471,,,,,,
x0.X.Y3,38.2709813,5.767574203,26.96674358,49.57521901,,,,,,
x0.X.Y4,27.28942116,5.864987578,15.79425674,38.78458558,,,,,,
x0.X.Y5,45.3512992,4.640817066,36.2554649,54.44713351,,,,,,
x0.X.Y6,48.64082925,12.44469909,24.24966723,73.03199127,,,,,,
x0.X.Y7,55.94514741,6.003198081,44.17909538,67.71119944,,,,,,
x0.X.Y8,67.6045174,6.212693985,55.42786094,79.78117386,,,,,,
x0.X.Y9,25.45067554,5.221362958,15.21699219,35.68435889,,,,,,
x0.X.Y10,44.74343243,5.578786686,33.80921144,55.67765341,,,,,,
x0.X.Y11,22.32674549,5.472184386,11.60146118,33.05202981,,,,,,
x0.X.Y12,44.76212265,7.549660553,29.96505987,59.55918543,,,,,,
x0.X.Y13,37.68661899,6.368640521,25.20431294,50.16892504,,,,,,
x0.X.Y14,110.0923559,12.81168395,84.98191682,135.2027951,,,,,,
x0.X.Y15,2.351086676,4.869823238,-7.193591482,11.89576483,,,,,,
x0.X.Y16,54.68328617,12.31383168,30.54861957,78.81795276,,,,,,
x0.X.Y17,76.75818082,13.29399041,50.7024384,102.8139232,,,,,,
x0.X.Y18,-5.727303835,4.897681139,-15.32658247,3.871974804,,,,,,
x0.X.Y19,17.63960828,6.992304478,3.934943336,31.34427323,,,,,,
x0.X.Y20,62.10902208,4.978425242,52.3514879,71.86655625,,,,,,
x0.X.Y21,2.504732948,4.867300045,-7.034999842,12.04446574,,,,,,
x0.X.Y22,65.25431113,10.3050261,45.05683112,85.45179115,,,,,,
x0.X.Y23,75.20884117,11.13611711,53.38245272,97.03522963,,,,,,
x0.X.Y24,54.12689321,4.867565552,44.58664004,63.66714639,,,,,,
x0.X.Y25,51.92162083,4.867283896,42.38191969,61.46132197,,,,,,
x0.X.Y26,146.3258409,19.95637209,107.2120703,185.4396115,,,,,,
x0.X.Y27,51.41763416,9.308333052,33.17363662,69.6616317,,,,,,
x0.X.Y28,76.89497164,7.74821373,61.70875179,92.0811915,,,,,,
x0.X.Y29,70.5070553,13.59349411,43.86429642,97.14981418,,,,,,
x0.X.Y30,40.41515719,11.06455795,18.7290221,62.10129228,,,,,,
x0.X.Y31,33.80433541,5.678556348,22.67456948,44.93410133,,,,,,
x0.X.Y32,48.9530822,5.111035485,38.93563672,58.97052767,,,,,,
x0.X.Y33,95.13755275,21.56748513,52.86605867,137.4090468,,,,,,
x0.X.Y34,77.79957569,12.21908345,53.85061221,101.7485392,,,,,,
x0.X.Y35,72.78372669,10.1709445,52.84904178,92.7184116,,,,,,
x0.X.Y36,58.67355699,7.680798964,43.61946765,73.72764633,,,,,,
EEF-1,1,NA,NA,NA,,,,,,
EEF-XA3S,2,NA,NA,NA,,,,,,
EER-1,3,NA,NA,NA,,,,,,
EFF-XA2N,4,NA,NA,NA,,,,,,
EFR-XB1S,5,NA,NA,NA,,,,,,
EHF-XB7S,6,NA,NA,NA,,,,,,
EHR-1,7,NA,NA,NA,,,,,,
