term,estimate,std.error,conf.low,conf.up,CI Range,,
"Q.(X.Y4,X.Y4)",30.85479378,22.82999406,-13.89117233,75.6007599,89.49193223,,
"Q.(X.Y5,X.Y5)",12.90735995,8.234535304,-3.232032671,29.04675258,32.27878525,,
"Q.(X.Y6,X.Y6)",6.802340533,4.280290444,-1.586874581,15.19155565,16.77843023,,
"Q.(X.Y7,X.Y7)",157.2047373,102.2379975,-43.17805559,357.5875301,400.7655857,,
"Q.(X.Y8,X.Y8)",36.38351893,23.30480882,-9.293067015,82.06010488,91.35317189,,
"Q.(X.Y9,X.Y9)",20.92231507,14.31607595,-7.136678202,48.98130834,56.11798654,,
"Q.(X.Y10,X.Y10)",4.350186812,2.750379697,-1.040458339,9.740831963,10.7812903,,
"Q.(X.Y11,X.Y11)",27.09255964,17.55354686,-7.311760001,61.49687929,68.80863929,,
"Q.(X.Y12,X.Y12)",15.09924484,9.602094071,-3.720513718,33.91900339,37.63951711,,
"Q.(X.Y13,X.Y13)",17.72410845,11.01922522,-3.873176115,39.32139302,43.19456914,,
"Q.(X.Y14,X.Y14)",17.72544238,11.33812103,-4.496866495,39.94775125,44.44461774,,
"Q.(X.Y15,X.Y15)",199.1944891,124.0665346,-43.97145039,442.3604286,486.331879,,
"Q.(X.Y16,X.Y16)",2.959393105,1.817220563,-0.602293751,6.521079962,7.123373713,,
"Q.(X.Y17,X.Y17)",0.00110248,1.237330784,-2.424021293,2.426226254,4.850247547,,
"Q.(X.Y18,X.Y18)",43.07052142,27.72472705,-11.26894507,97.40998792,108.678933,,
"Q.(X.Y19,X.Y19)",3.74E-05,0.06439977,-0.12618383,0.12625863,0.25244246,,
"Q.(X.Y20,X.Y20)",13.24348888,8.48697611,-3.390678637,29.87765639,33.26833503,,
"Q.(X.Y21,X.Y21)",9.803797432,6.227687077,-2.402244947,22.00983981,24.41208476,,
"Q.(X.Y22,X.Y22)",0,0.003746753,-0.007343501,0.007343501,0.014687002,,
