term,estimate,std.error,conf.low,conf.up,,Umin,Umax,Uavg,Qmin,Qmax,Qavg
x0.X.Y20,26.36754455,NA,NA,NA,,,,,,,
x0.X.Y21,-4.311745572,NA,NA,NA,,,,,,,
x0.X.Y22,79.70330602,NA,NA,NA,,,,,,,
x0.X.Y23,0,NA,NA,NA,,,,,,,
x0.X.Y24,0,NA,NA,NA,,,,,,,
x0.X.Y25,0,NA,NA,NA,,,,,,,
x0.X.Y26,-353.5119674,NA,NA,NA,,,,,,,
x0.X.Y27,55.90153401,NA,NA,NA,,,,,,,
x0.X.Y28,-78.33316408,NA,NA,NA,,,,,,,
x0.X.Y29,-376.4994952,NA,NA,NA,,,,,,,
x0.X.Y30,89.54465168,NA,NA,NA,,,,,,,
x0.X.Y31,9.461572109,NA,NA,NA,,,,,,,
x0.X.Y32,27.67718741,NA,NA,NA,,,,,,,
x0.X.Y33,-415.3517371,NA,NA,NA,,,,,,,
x0.X.Y34,0,NA,NA,NA,,,,,,,
x0.X.Y35,0,NA,NA,NA,,,,,,,
x0.X.Y36,0,NA,NA,NA,,,,,,,
EEF-1,1,NA,NA,NA,,,,,,,
EEF-XA3S,2,NA,NA,NA,,,,,,,
EER-1,3,NA,NA,NA,,,,,,,
EFF-XA2N,4,NA,NA,NA,,,,,,,
EFR-XB1S,5,NA,NA,NA,,,,,,,
EHF-XB7S,6,NA,NA,NA,,,,,,,
EHR-1,7,NA,NA,NA,,,,,,,
EHR-XB1N,8,NA,NA,NA,,,,,,,
EHR-XB2N,9,NA,NA,NA,,,,,,,
EWF-XA1N,10,NA,NA,NA,,,,,,,
EWR-1,11,NA,NA,NA,,,,,,,
EWR-XB3N,12,NA,NA,NA,,,,,,,
EWR-XB4N,13,NA,NA,NA,,,,,,,
EWT-1,14,NA,NA,NA,,,,,,,
KEF-1,15,NA,NA,NA,,,,,,,
KER-1,16,NA,NA,NA,,,,,,,
KER-XD5N,17,NA,NA,NA,,,,,,,
KER-XE3S,18,NA,NA,NA,,,,,,,
KET-1,19,NA,NA,NA,,,,,,,
KFR-XE1S,20,NA,NA,NA,,,,,,,
KFR-XE2S,21,NA,NA,NA,,,,,,,
KHF-1,22,NA,NA,NA,,,,,,,
KHR-1,23,NA,NA,NA,,,,,,,
KHR-XD1N,24,NA,NA,NA,,,,,,,
KHR-XD1S,25,NA,NA,NA,,,,,,,
KHT-XD6N,26,NA,NA,NA,,,,,,,
KHT-XE4S,27,NA,NA,NA,,,,,,,
KHT-XE5S,28,NA,NA,NA,,,,,,,
KHT-XE6S,29,NA,NA,NA,,,,,,,
KWF-1,30,NA,NA,NA,,,,,,,
KWR-1,31,NA,NA,NA,,,,,,,
KWR-XE1N,32,NA,NA,NA,,,,,,,
KWT-1,33,NA,NA,NA,,,,,,,
LET-1,34,NA,NA,NA,,,,,,,
LHT-1,35,NA,NA,NA,,,,,,,
LWT-1,36,NA,NA,NA,,,,,,,
