ID,run_date,run_minutes,states,completeness,AIC,AICc,coef.det,sigma,df,logLik,convergence,errors,Q.diag
29,11/23/24,0.345104484,37,0.82,3674.404166,3681.546335,0.902855871,130.7702846,38,-1799.202083,0,0,63.49146931
30,11/23/24,0.006357217,11,0.82,812.7057361,816.211354,0.833746179,99.15675011,12,-394.352868,0,0,49.69771664
31,11/23/24,0.516205819,45,0.95,2373.809093,2394.399569,0.641571963,321.3868452,46,-1140.904546,0,0,114.8047915
32,11/23/24,0.204432567,34,0.95,1828.578402,1843.489645,0.827528758,139.3006882,35,-879.2892012,0,0,107.1467826
33,11/23/24,10.2995396,51,0.95,12339.79066,12343.91641,0.643035656,493.59494,52,-6117.895331,0,0,119.3451474
