term,estimate,std.error,conf.low,conf.up,,Umin,Umax,Uaverage
R.diag,5.840691136,12.37201172,-18.40800625,30.08938852,,-2.659083021,0.897336462,-0.349654118
U.X.Y1,-0.224317466,2.276377603,-4.685935584,4.237300652,,,,
U.X.Y2,-0.478232149,2.278010123,-4.943049946,3.986585649,,,,
U.X.Y3,-0.472357501,2.275526056,-4.932306616,3.987591614,,,,
U.X.Y4,-0.047560782,2.275708648,-4.507867772,4.412746208,,,,
U.X.Y5,-0.146894467,2.2763858,-4.608528651,4.314739716,,,,
U.X.Y6,0.897336462,2.27619611,-3.563925935,5.358598859,,,,
U.X.Y7,-0.646199351,2.275085247,-5.105284497,3.812885794,,,,
U.X.Y8,-0.486939353,2.275414874,-4.946670555,3.972791849,,,,
U.X.Y9,0.120469521,2.276167194,-4.340736201,4.581675243,,,,
U.X.Y10,-0.378971228,2.275368048,-4.838610653,4.080668198,,,,
U.X.Y11,-0.589669005,2.275506406,-5.049579606,3.870241597,,,,
U.X.Y12,0.284291781,2.275221219,-4.175059865,4.743643427,,,,
U.X.Y13,-0.58835673,2.274892831,-5.047064748,3.870351287,,,,
U.X.Y14,-2.659083021,2.27525429,-7.118499485,1.800333444,,,,
U.X.Y15,0.432364802,2.343010716,-4.159851816,5.024581421,,,,
U.X.Y16,0.202905112,2.341723304,-4.386788224,4.792598449,,,,
U.X.Y17,0.06875478,2.347779916,-4.5328093,4.67031886,,,,
U.X.Y18,0.462035756,2.343611796,-4.131358958,5.055430471,,,,
U.X.Y19,0.417497928,2.341481823,-4.171722114,5.006717971,,,,
U.X.Y20,0.295834415,2.343693341,-4.297720125,4.889388954,,,,
U.X.Y21,0.351994099,2.34348479,-4.241151686,4.945139885,,,,
U.X.Y22,-1.360310657,2.341285161,-5.949145249,3.228523936,,,,
U.X.Y23,-0.609506222,2.343058477,-5.20181645,3.982804006,,,,
U.X.Y24,0.057554433,2.343046779,-4.534732868,4.649841735,,,,
U.X.Y25,0.185103193,2.342921434,-4.406938437,4.777144823,,,,
