term,estimate,std.error,conf.low,conf.up,,Umin,Umax
U.X.Y1,0.038280198,1.051414455,-2.022454266,2.099014662,,-0.311578581,1.613564356
U.X.Y2,0.146582178,1.051252341,-1.913834549,2.206998905,,,
U.X.Y3,0.033131683,1.05125026,-2.027280965,2.093544331,,,
U.X.Y4,0.2186363,1.074952166,-1.88823123,2.325503829,,,
U.X.Y5,-0.021378218,1.051403658,-2.082091522,2.039335086,,,
U.X.Y6,0.309141584,1.051442578,-1.751648,2.369931168,,,
U.X.Y7,0.091957426,1.051398392,-1.968745556,2.152660408,,,
U.X.Y8,0.01828147,1.182207847,-2.298803331,2.335366272,,,
U.X.Y9,0.091980198,1.05125026,-1.96843245,2.152392846,,,
U.X.Y10,0.130551284,1.074994708,-1.976399627,2.237502196,,,
U.X.Y11,0.257200083,1.074982513,-1.849726927,2.364127094,,,
U.X.Y12,-0.125694278,1.171101205,-2.421010463,2.169621906,,,
U.X.Y13,0.098983168,1.051250596,-1.961430138,2.159396475,,,
U.X.Y14,0.174593743,1.074982513,-1.932333267,2.281520754,,,
U.X.Y15,0.283335223,1.074982513,-1.823591787,2.390262233,,,
U.X.Y16,0.296229703,1.051270322,-1.764222265,2.356681671,,,
U.X.Y17,0.314845953,1.064629896,-1.771790301,2.401482206,,,
U.X.Y18,0.508931983,1.117287649,-1.68091157,2.698775535,,,
U.X.Y19,0.714763252,1.160938561,-1.560634515,2.990161019,,,
U.X.Y20,0.303473173,1.082179805,-1.81756027,2.424506617,,,
U.X.Y21,0.781737608,1.200259397,-1.570727582,3.134202799,,,
U.X.Y22,0.095833663,1.051566146,-1.965198111,2.156865438,,,
U.X.Y23,-0.03259901,1.051557459,-2.093613756,2.028415737,,,
U.X.Y24,-0.244183944,1.064606677,-2.330774688,1.8424068,,,
U.X.Y25,1.073170133,1.182397639,-1.244286655,3.390626921,,,
U.X.Y26,0.587178323,1.160899206,-1.688142311,2.862498956,,,
U.X.Y27,0.237474497,1.182298535,-2.07978805,2.554737045,,,
U.X.Y28,1.613564356,1.051468966,-0.447276948,3.67440566,,,
U.X.Y29,0.13299853,1.064652878,-1.953682766,2.219679827,,,
U.X.Y30,0.311328713,1.051511863,-1.749596668,2.372254094,,,
U.X.Y31,0.267235644,1.051470764,-1.793609186,2.328080473,,,
U.X.Y32,-0.283513841,1.064737797,-2.370361576,1.803333894,,,
U.X.Y33,1.070111881,1.051604398,-0.990994864,3.131218627,,,
U.X.Y34,0.384063479,1.064761632,-1.702830973,2.47095793,,,
U.X.Y35,0.308900592,1.06475499,-1.777980841,2.395782025,,,
U.X.Y36,-0.311578581,1.061283268,-2.391655564,1.768498401,,,
U.X.Y37,0.407315284,1.193997279,-1.93287638,2.747506949,,,
U.X.Y38,0.720462652,1.193997279,-1.619729012,3.060654316,,,
U.X.Y39,0.374160034,1.194038466,-1.966112356,2.714432423,,,
Q.diag,111.617535,10.62351975,90.79581886,132.4392511,,,
Q.offdiag,47.23660529,10.32219144,27.00548182,67.46772876,,,
x0.X.Y1,4.673859406,18.568841,-31.72040019,41.068119,,,
x0.X.Y2,2.944253465,18.56875839,-33.44984422,39.33835115,,,
x0.X.Y3,17.15430495,18.56875733,-19.23979066,53.54840056,,,
x0.X.Y4,2.816824849,29.77223296,-55.5356795,61.1693292,,,
x0.X.Y5,11.49833465,18.5688355,-24.89591416,47.89258346,,,
x0.X.Y6,9.243075248,18.56885533,-27.15121244,45.63736293,,,
x0.X.Y7,34.17142772,18.56883281,-2.222815828,70.56567127,,,
x0.X.Y8,1.463727084,59.22071009,-114.6067318,117.534186,,,
x0.X.Y9,29.27905941,18.56875733,-7.115036202,65.67315501,,,
x0.X.Y10,30.34766642,29.77260038,-28.00555806,88.7008909,,,
x0.X.Y11,-11.01880868,29.77249757,-69.37183164,47.33421428,,,
x0.X.Y12,36.02220492,56.78592293,-75.27615886,147.3205687,,,
x0.X.Y13,4.670750495,18.5687575,-31.72334545,41.06484644,,,
x0.X.Y14,1.857250694,29.77249757,-56.49577226,60.21027365,,,
x0.X.Y15,-0.996863178,29.77249757,-59.34988614,57.35615978,,,
x0.X.Y16,34.65211089,18.56876755,-1.742004752,71.04622653,,,
x0.X.Y17,-21.33397909,25.4179864,-71.15231699,28.48435882,,,
x0.X.Y18,6.307663438,23.94061035,-40.61507062,53.2303975,,,
x0.X.Y19,-4.735378212,54.45247692,-111.4602718,101.9895154,,,
x0.X.Y20,-42.73160207,29.79899439,-101.1365579,15.67335372,,,
x0.X.Y21,-64.34071126,62.98623347,-187.7914604,59.11003787,,,
x0.X.Y22,43.30829901,18.56891831,6.913887895,79.70271012,,,
x0.X.Y23,2.44029703,18.56891388,-33.95410541,38.83469947,,,
x0.X.Y24,39.09513018,25.41789702,-10.72303255,88.91329291,,,
x0.X.Y25,-21.95469383,59.22068343,-138.0251005,94.11571282,,,
x0.X.Y26,-11.25154555,54.4521426,-117.9757839,95.47269283,,,
x0.X.Y27,23.84265226,59.22030257,-92.22700792,139.9123124,,,
x0.X.Y28,22.18930693,18.56886878,-14.20500711,58.58362097,,,
x0.X.Y29,19.85815286,25.41807273,-29.96035424,69.67665997,,,
x0.X.Y30,6.809313861,18.56889064,-29.58504303,43.20367075,,,
x0.X.Y31,3.754993069,18.5688697,-32.63932277,40.14930891,,,
x0.X.Y32,30.30043946,25.4183776,-19.51866518,80.1195441,,,
