term,estimate,std.error,conf.low,conf.up,,,Umin,Umax,Uavg,Qmin,Qmax,Qavg
R.diag,2.284850074,0.749641514,0.815579704,3.754120443,,,-0.126355814,13.97785298,2.021170189,0,449.8149932,81.15325412
U.X.Y1,0.095923468,2.85856713,-5.506765153,5.69861209,EEF-1,1,,,,,,
U.X.Y2,1.037878288,2.721095535,-4.29537096,6.371127535,EEF-XA3S,2,,,,,,
U.X.Y3,1.172920164,1.366229027,-1.504839523,3.850679851,EER-1,3,,,,,,
U.X.Y4,0.386313924,1.325456472,-2.211533024,2.984160871,EFF-XA2N,4,,,,,,
U.X.Y5,1.336578854,0.773456669,-0.179368361,2.852526068,EFR-XB1S,5,,,,,,
U.X.Y6,0.067404464,0.172970962,-0.271612391,0.406421319,EHF-XB7S,6,,,,,,
U.X.Y7,2.101128846,1.838296957,-1.501866982,5.704124674,EHR-1,7,,,,,,
U.X.Y8,1.552002453,0.248153665,1.065630206,2.038374699,EHR-XB1N,8,,,,,,
U.X.Y9,0.558810465,0.238803936,0.09076335,1.026857579,EHR-XB2N,9,,,,,,
U.X.Y10,0.463944432,1.938828659,-3.336089912,4.263978776,EWF-XA1N,10,,,,,,
U.X.Y11,1.897448024,0.906768231,0.120214948,3.674681099,EWR-1,11,,,,,,
U.X.Y12,0.816683599,0.251323406,0.324098774,1.309268423,EWR-XB3N,12,,,,,,
U.X.Y13,0.997784483,0.239872039,0.527643925,1.467925041,EWR-XB4N,13,,,,,,
U.X.Y14,5.278281526,5.000381253,-4.52228564,15.07884869,EWT-1,14,,,,,,
U.X.Y15,0.263756357,0.106071508,0.055860021,0.471652692,KEF-1,15,,,,,,
U.X.Y16,1.215397609,1.414871299,-1.55769918,3.988494399,KER-1,16,,,,,,
U.X.Y17,0.708471371,1.19125766,-1.626350739,3.043293481,KER-XD5N,17,,,,,,
U.X.Y18,-0.126355814,0.090740141,-0.304203223,0.051491595,KER-XE3S,18,,,,,,
U.X.Y19,1.069245466,0.167100189,0.741735114,1.396755819,KET-1,19,,,,,,
U.X.Y20,2.266221606,1.423151613,-0.523104301,5.055547512,KFR-XE1S,20,,,,,,
U.X.Y21,0.512865602,0.214092845,0.093251338,0.932479867,KFR-XE2S,21,,,,,,
U.X.Y22,1.879299431,3.334788814,-4.656766541,8.415365402,KHF-1,22,,,,,,
U.X.Y23,-0.101945515,1.820910092,-3.670863713,3.466972684,KHR-1,23,,,,,,
U.X.Y24,3.034877765,2.847783849,-2.546676015,8.616431544,KHR-XD1N,24,,,,,,
U.X.Y25,1.022644985,0.14557611,0.737321053,1.307968918,KHR-XD1S,25,,,,,,
U.X.Y26,13.97785298,3.567735303,6.985220285,20.97048568,KHT-XD6N,26,,,,,,
U.X.Y27,1.79614854,2.171811765,-2.4605243,6.05282138,KHT-XE4S,27,,,,,,
U.X.Y28,3.620099223,2.368731945,-1.022530079,8.262728525,KHT-XE5S,28,,,,,,
U.X.Y29,11.16679157,4.277947457,2.782168627,19.55141451,KHT-XE6S,29,,,,,,
U.X.Y30,1.328947521,2.905294148,-4.365324374,7.023219416,KWF-1,30,,,,,,
U.X.Y31,2.221713206,0.871868252,0.512882832,3.93054358,KWR-1,31,,,,,,
U.X.Y32,3.116413691,1.50780957,0.161161239,6.071666143,KWR-XE1N,32,,,,,,
U.X.Y33,0.482280535,3.778534853,-6.923511691,7.888072761,KWT-1,33,,,,,,
U.X.Y34,0.741779881,2.567003006,-4.28945356,5.773013322,LET-1,34,,,,,,
U.X.Y35,3.608594501,3.677552747,-3.599276433,10.81646544,LHT-1,35,,,,,,
U.X.Y36,1.193923314,2.199876002,-3.11775442,5.505601047,LWT-1,36,,,,,,
"Q.(X.Y1,X.Y1)",122.2682496,62.0801721,0.593348174,243.9431511,,,,,,,,
"Q.(X.Y2,X.Y2)",133.0247667,71.91883434,-7.933558386,273.9830919,,,,,,,,
"Q.(X.Y3,X.Y3)",33.34955395,16.56745443,0.877939959,65.82116794,,,,,,,,
"Q.(X.Y4,X.Y4)",26.05635769,13.9338503,-1.253487066,53.36620245,,,,,,,,
"Q.(X.Y5,X.Y5)",0.000224,0.084683291,-0.1657522,0.1662002,,,,,,,,
"Q.(X.Y6,X.Y6)",5.69E-05,0.0333889,-0.065384138,0.065497944,,,,,,,,
"Q.(X.Y7,X.Y7)",60.57639528,29.42001759,2.914220378,118.2385702,,,,,,,,
"Q.(X.Y8,X.Y8)",0.000204391,0.07587599,-0.148509817,0.1489186,,,,,,,,
"Q.(X.Y9,X.Y9)",0.000197849,0.075863912,-0.148492686,0.148888384,,,,,,,,
"Q.(X.Y10,X.Y10)",56.08194912,36.29939039,-15.0635487,127.2274469,,,,,,,,
"Q.(X.Y11,X.Y11)",14.55647756,7.669177602,-0.474834331,29.58778945,,,,,,,,
"Q.(X.Y12,X.Y12)",0.000205454,0.075877953,-0.1485126,0.148923508,,,,,,,,
"Q.(X.Y13,X.Y13)",0.000199035,0.075866103,-0.148495793,0.148893864,,,,,,,,
"Q.(X.Y14,X.Y14)",449.8149932,285.1687451,-109.1054767,1008.735463,,,,,,,,
"Q.(X.Y15,X.Y15)",9.40E-05,0.032240963,-0.063097148,0.063285106,,,,,,,,
"Q.(X.Y16,X.Y16)",37.80013318,17.82013526,2.873309866,72.7269565,,,,,,,,
"Q.(X.Y17,X.Y17)",26.71539085,17.68063929,-7.938025383,61.36880709,,,,,,,,
"Q.(X.Y18,X.Y18)",0,0.018474518,-0.036209389,0.036209389,,,,,,,,
