term,estimate,std.error,conf.low,conf.up,,Rmin,Rmax,Ravg,Umin,Umax,Uavg
"R.(Y1,Y1)",459.1944293,195.8722623,75.29184953,843.0970091,,0.001344593,1757.471626,148.5048121,-0.304942523,8.177302761,1.715965474
"R.(Y2,Y2)",849.157594,499.1968381,-129.2502299,1827.565418,,,,,,,
"R.(Y3,Y3)",8.803770547,5.913231176,-2.78594959,20.39349069,,,,,,,
"R.(Y4,Y4)",3.99314243,4.973835551,-5.755396115,13.74168098,,,,,,,
"R.(Y5,Y5)",0.001872359,1.953898975,-3.827699262,3.83144398,,,,,,,
"R.(Y6,Y6)",0.001344593,1.956231031,-3.832797772,3.835486959,,,,,,,
"R.(Y7,Y7)",436.02822,195.8566344,52.15627036,819.9001696,,,,,,,
"R.(Y8,Y8)",0.004290582,1.475332362,-2.887307712,2.895888877,,,,,,,
"R.(Y9,Y9)",0.004811673,1.944765052,-3.806857787,3.816481132,,,,,,,
"R.(Y10,Y10)",0.001441973,1.945591028,-3.811846372,3.814730317,,,,,,,
"R.(Y11,Y11)",5.38070492,4.356956118,-3.158772153,13.92018199,,,,,,,
"R.(Y12,Y12)",0.01395476,1.906901537,-3.723503574,3.751413094,,,,,,,
"R.(Y13,Y13)",0.269913621,1.791555863,-3.241471346,3.781298588,,,,,,,
"R.(Y14,Y14)",0.001372113,1.913324845,-3.748675674,3.751419901,,,,,,,
"R.(Y15,Y15)",468.0653499,199.6616373,76.73573174,859.394968,,,,,,,
"R.(Y16,Y16)",0.005385831,1.60485153,-3.140065369,3.150837031,,,,,,,
"R.(Y17,Y17)",84.1357928,60.96272265,-35.348948,203.6205336,,,,,,,
"R.(Y18,Y18)",74.36973277,35.29872106,5.185510792,143.5539547,,,,,,,
"R.(Y19,Y19)",27.03175855,14.6607763,-1.702834985,55.76635208,,,,,,,
"R.(Y20,Y20)",3.979257516,3.882238018,-3.629789178,11.58830421,,,,,,,
"R.(Y21,Y21)",0.001349576,2.006805247,-3.931916432,3.934615584,,,,,,,
"R.(Y22,Y22)",0.002916728,1.468170537,-2.874644647,2.880478103,,,,,,,
"R.(Y23,Y23)",89.2088729,40.66633563,9.504319681,168.9134261,,,,,,,
"R.(Y24,Y24)",52.58472505,27.32654657,-0.974322039,106.1437721,,,,,,,
"R.(Y25,Y25)",1.18949936,2.166947289,-3.057639282,5.436638003,,,,,,,
"R.(Y26,Y26)",0.00185415,2.517029666,-4.931433342,4.935141643,,,,,,,
"R.(Y27,Y27)",338.1172755,153.601882,37.06311889,639.1714321,,,,,,,
"R.(Y28,Y28)",148.0617958,70.05187157,10.76265049,285.3609411,,,,,,,
"R.(Y29,Y29)",33.11433496,16.19150202,1.379574141,64.84909579,,,,,,,
"R.(Y30,Y30)",62.52847138,29.77539243,4.169774588,120.8871682,,,,,,,
"R.(Y31,Y31)",0.004429009,1.481329613,-2.898923681,2.907781699,,,,,,,
"R.(Y32,Y32)",362.3403205,223.5529188,-75.81534907,800.4959901,,,,,,,
"R.(Y33,Y33)",0.001593089,2.160248246,-4.23241567,4.235601848,,,,,,,
"R.(Y34,Y34)",0.001620524,2.037277752,-3.991370496,3.994611544,,,,,,,
"R.(Y35,Y35)",1757.471626,788.7335229,211.582328,3303.360925,,,,,,,
"R.(Y36,Y36)",237.8406456,110.098104,22.05232708,453.6289641,,,,,,,
"R.(Y37,Y37)",134.8920948,64.12563328,9.208163086,260.5760265,,,,,,,
"R.(Y38,Y38)",5.375293641,4.599933381,-3.640410117,14.3909974,,,,,,,
U.X.Y1,-0.141484723,1.143367115,-2.38244309,2.099473643,,,,,,,
U.X.Y2,2.102012689,1.444889079,-0.729917868,4.933943245,,,,,,,
U.X.Y3,0.91814331,0.838517064,-0.725319936,2.561606555,,,,,,,
U.X.Y4,0.823263034,0.834485586,-0.81229866,2.458824729,,,,,,,
U.X.Y5,0.231623744,0.826604111,-1.388490543,1.85173803,,,,,,,
U.X.Y6,1.097179782,0.827119888,-0.523945409,2.718304973,,,,,,,
U.X.Y7,-0.304942523,1.129077387,-2.517893538,1.908008492,,,,,,,
U.X.Y8,1.243534917,0.827430869,-0.378199787,2.865269621,,,,,,,
U.X.Y9,0.524509233,0.828923815,-1.10015159,2.149170055,,,,,,,
U.X.Y10,0.333609201,0.827277707,-1.287825309,1.955043711,,,,,,,
U.X.Y11,0.361629463,0.835744077,-1.276398827,1.999657754,,,,,,,
U.X.Y12,0.938383258,0.82665581,-0.681832358,2.558598873,,,,,,,
U.X.Y13,0.321114953,0.827243249,-1.300252022,1.942481929,,,,,,,
U.X.Y14,1.023984956,0.826695235,-0.596307931,2.644277842,,,,,,,
U.X.Y15,0.927015465,1.151896324,-1.330659844,3.184690774,,,,,,,
U.X.Y16,0.240042403,0.828303302,-1.383402238,1.863487043,,,,,,,
U.X.Y17,5.159910669,1.482532241,2.254200872,8.065620467,,,,,,,
U.X.Y18,3.478576653,0.898011827,1.718505815,5.238647491,,,,,,,
U.X.Y19,-0.022035549,0.878160496,-1.743198494,1.699127396,,,,,,,
U.X.Y20,1.541087819,0.832815003,-0.091199592,3.17337523,,,,,,,
U.X.Y21,1.263979446,0.826683774,-0.356290977,2.88424987,,,,,,,
U.X.Y22,0.060826988,0.827903897,-1.561834833,1.683488809,,,,,,,
