term,estimate,std.error,conf.low,conf.up,,Rmin,Rmax,Ravg,Umin,Umax,Uavg,Qmin,Qmax,Qaverage
"R.(Y36,Y36)",0.14895309,244.0310492,-478.1431144,478.4410206,,,,,,,,,,
"R.(Y37,Y37)",0.125500501,182.4525269,-357.474881,357.725882,,,,,,,,,,
"R.(Y38,Y38)",0.082408668,53.11027158,-104.0118108,104.1766282,,,,,,,,,,
U.X.Y1,-0.219508093,2.842751246,-5.791198152,5.352181967,,,,,,,,,,
U.X.Y2,-1.423943277,1.788310057,-4.928966582,2.081080028,,,,,,,,,,
U.X.Y3,-0.467412986,0.767216023,-1.971128759,1.036302787,,,,,,,,,,
U.X.Y4,-1.438495206,2.277885782,-5.903069299,3.026078887,,,,,,,,,,
U.X.Y5,-0.040681821,0.772225388,-1.55421577,1.472852127,,,,,,,,,,
U.X.Y6,-0.146309372,0.248189563,-0.632751977,0.340133233,,,,,,,,,,
U.X.Y7,0.922202204,3.285798386,-5.517844293,7.362248702,,,,,,,,,,
U.X.Y8,-0.646185108,1.024728793,-2.654616636,1.36224642,,,,,,,,,,
U.X.Y9,-0.483799809,0.965490765,-2.376126935,1.408527318,,,,,,,,,,
U.X.Y10,0.125886625,0.520787098,-0.894837331,1.14661058,,,,,,,,,,
U.X.Y11,-0.374058858,0.830783571,-2.002364737,1.254247021,,,,,,,,,,
U.X.Y12,-0.589275524,0.664895293,-1.892446352,0.713895303,,,,,,,,,,
U.X.Y13,0.272832317,1.642923176,-2.947237938,3.492902572,,,,,,,,,,
U.X.Y14,-0.589266157,1.144882896,-2.8331954,1.654663086,,,,,,,,,,
U.X.Y15,-2.686498464,3.250285884,-9.056941736,3.683944808,,,,,,,,,,
U.X.Y16,-0.055214805,0.216351969,-0.479256872,0.368827261,,,,,,,,,,
U.X.Y17,-1.311063973,1.714790982,-4.671992539,2.049864593,,,,,,,,,,
U.X.Y18,-0.450336823,4.161232689,-8.606203025,7.705529378,,,,,,,,,,
U.X.Y19,-0.038349535,0.066433261,-0.168556334,0.091857264,,,,,,,,,,
U.X.Y20,-0.088204115,1.274447879,-2.586076058,2.409667828,,,,,,,,,,
U.X.Y21,-0.202689675,0.313933334,-0.817987704,0.412608354,,,,,,,,,,
U.X.Y22,-0.177662783,0.02680255,-0.230194815,-0.125130751,,,,,,,,,,
U.X.Y23,-1.866336796,2.620724761,-7.002862941,3.270189349,,,,,,,,,,
U.X.Y24,-1.351176989,3.230238151,-7.682327428,4.979973449,,,,,,,,,,
U.X.Y25,-0.446079947,0.226865358,-0.890727878,-0.001432015,,,,,,,,,,
U.X.Y26,-0.313626065,0.239253822,-0.78255494,0.155302809,,,,,,,,,,
U.X.Y27,-2.859327518,6.714284244,-16.01908282,10.30042778,,,,,,,,,,
U.X.Y28,-1.113556709,2.353925169,-5.727165262,3.500051845,,,,,,,,,,
U.X.Y29,-0.49809658,1.56153766,-3.558654155,2.562460994,,,,,,,,,,
U.X.Y30,-1.927906099,4.648110344,-11.03803497,7.182222771,,,,,,,,,,
U.X.Y31,-0.421547307,3.221261106,-6.73510306,5.892008445,,,,,,,,,,
U.X.Y32,-1.197486653,3.857987454,-8.759003115,6.364029809,,,,,,,,,,
U.X.Y33,-0.841766957,0.573527357,-1.96585992,0.282326007,,,,,,,,,,
U.X.Y34,-0.393159892,0.37003833,-1.118421693,0.332101908,,,,,,,,,,
U.X.Y35,-1.35893957,5.939749068,-13.00063382,10.28275468,,,,,,,,,,
U.X.Y36,-0.601190187,3.44943593,-7.361960378,6.159580004,,,,,,,,,,
U.X.Y37,-0.857276393,3.021921648,-6.780133987,5.065581202,,,,,,,,,,
U.X.Y38,-0.378037289,1.696305767,-3.702735498,2.946660921,,,,,,,,,,
"Q.(X.Y1,X.Y1)",163.6909853,133.010156,-97.00413011,424.3861008,,,,,,,,,,
"Q.(X.Y2,X.Y2)",0.026949366,28.79690151,-56.41394047,56.4678392,,,,,,,,,,
"Q.(X.Y3,X.Y3)",13.53432585,9.606022486,-5.29313226,32.36178395,,,,,,,,,,
"Q.(X.Y4,X.Y4)",109.0183634,96.74079111,-80.59010302,298.6268298,,,,,,,,,,
"Q.(X.Y5,X.Y5)",14.18259928,9.776775949,-4.979529462,33.34472803,,,,,,,,,,
"Q.(X.Y6,X.Y6)",1.385299299,1.043062085,-0.65906482,3.429663419,,,,,,,,,,
"Q.(X.Y7,X.Y7)",269.8385013,189.4892251,-101.5535554,641.230558,,,,,,,,,,
"Q.(X.Y8,X.Y8)",21.98620478,17.51693377,-12.34635452,56.31876409,,,,,,,,,,
"Q.(X.Y9,X.Y9)",20.68627089,15.09961542,-8.908431524,50.2809733,,,,,,,,,,
"Q.(X.Y10,X.Y10)",6.255700647,4.380666635,-2.330248185,14.84164948,,,,,,,,,,
"Q.(X.Y11,X.Y11)",15.29537381,11.51902122,-7.281492929,37.87224054,,,,,,,,,,
"Q.(X.Y12,X.Y12)",8.914348416,7.63301362,-6.046083372,23.87478021,,,,,,,,,,
"Q.(X.Y13,X.Y13)",63.74136799,45.72646749,-25.88086142,153.3635974,,,,,,,,,,
"Q.(X.Y14,X.Y14)",26.31026252,21.26071902,-15.35998104,67.98050607,,,,,,,,,,
"Q.(X.Y15,X.Y15)",245.489057,179.3870922,-106.103183,597.0812969,,,,,,,,,,
"Q.(X.Y16,X.Y16)",0.966622189,0.735275952,-0.474492195,2.407736573,,,,,,,,,,
"Q.(X.Y17,X.Y17)",0.009999477,13.98884436,-27.40763166,27.42763062,,,,,,,,,,
"Q.(X.Y18,X.Y18)",292.27377,280.3412908,-257.1850634,841.7326034,,,,,,,,,,
