term,estimate,std.error,conf.low,conf.up,,Umin,Umax,Uaverage
R.diag,41.2994038,NA,NA,NA,,-0.728851985,11.80623252,2.182953946
U.X.Y1,-0.728851985,NA,NA,NA,,,,
U.X.Y2,6.248450075,NA,NA,NA,,,,
U.X.Y3,0.217503778,NA,NA,NA,,,,
U.X.Y4,0.453893296,NA,NA,NA,,,,
U.X.Y5,0.09201468,NA,NA,NA,,,,
U.X.Y6,1.531567884,NA,NA,NA,,,,
U.X.Y7,0.894156977,NA,NA,NA,,,,
U.X.Y8,1.898365365,NA,NA,NA,,,,
U.X.Y9,1.037661086,NA,NA,NA,,,,
U.X.Y10,1.531567883,NA,NA,NA,,,,
U.X.Y11,0.35111663,NA,NA,NA,,,,
U.X.Y12,1.249124593,NA,NA,NA,,,,
U.X.Y13,1.513805674,NA,NA,NA,,,,
U.X.Y14,5.456177435,NA,NA,NA,,,,
U.X.Y15,0.945290716,NA,NA,NA,,,,
U.X.Y16,5.917791664,NA,NA,NA,,,,
U.X.Y17,1.531567884,NA,NA,NA,,,,
U.X.Y18,1.489339778,NA,NA,NA,,,,
U.X.Y19,1.531567883,NA,NA,NA,,,,
U.X.Y20,0.769991524,NA,NA,NA,,,,
U.X.Y21,0.360936057,NA,NA,NA,,,,
U.X.Y22,0.351529047,NA,NA,NA,,,,
U.X.Y23,1.531567884,NA,NA,NA,,,,
U.X.Y24,1.531567884,NA,NA,NA,,,,
U.X.Y25,1.531567883,NA,NA,NA,,,,
U.X.Y26,11.80623252,NA,NA,NA,,,,
U.X.Y27,1.082962802,NA,NA,NA,,,,
U.X.Y28,3.316825616,NA,NA,NA,,,,
U.X.Y29,10.54367212,NA,NA,NA,,,,
U.X.Y30,0.07199144,NA,NA,NA,,,,
U.X.Y31,1.216544773,NA,NA,NA,,,,
U.X.Y32,1.582984725,NA,NA,NA,,,,
U.X.Y33,5.13115285,NA,NA,NA,,,,
U.X.Y34,1.531567884,NA,NA,NA,,,,
U.X.Y35,1.531567884,NA,NA,NA,,,,
U.X.Y36,1.531567884,NA,NA,NA,,,,
Q.diag,19.87981052,NA,NA,NA,,,,
Q.offdiag,19.87291177,NA,NA,NA,,,,
x0.X.Y1,16.0200933,NA,NA,NA,,,,
x0.X.Y2,-145.3140704,NA,NA,NA,,,,
x0.X.Y3,15.88423947,NA,NA,NA,,,,
x0.X.Y4,1.444403022,NA,NA,NA,,,,
x0.X.Y5,27.67837919,NA,NA,NA,,,,
x0.X.Y6,-37.80209581,NA,NA,NA,,,,
x0.X.Y7,17.0811682,NA,NA,NA,,,,
x0.X.Y8,-11.40983147,NA,NA,NA,,,,
x0.X.Y9,-25.62053407,NA,NA,NA,,,,
x0.X.Y10,-37.80209582,NA,NA,NA,,,,
x0.X.Y11,-5.589755233,NA,NA,NA,,,,
x0.X.Y12,-20.0815406,NA,NA,NA,,,,
x0.X.Y13,-28.84524663,NA,NA,NA,,,,
x0.X.Y14,-75.36287141,NA,NA,NA,,,,
x0.X.Y15,-39.36115513,NA,NA,NA,,,,
x0.X.Y16,-129.0566389,NA,NA,NA,,,,
x0.X.Y17,-37.80209582,NA,NA,NA,,,,
x0.X.Y18,-72.33927332,NA,NA,NA,,,,
x0.X.Y19,-37.80209582,NA,NA,NA,,,,
x0.X.Y20,21.55434112,NA,NA,NA,,,,
x0.X.Y21,-16.76073809,NA,NA,NA,,,,
x0.X.Y22,44.82255221,NA,NA,NA,,,,
x0.X.Y23,-37.80209582,NA,NA,NA,,,,
x0.X.Y24,-37.80209582,NA,NA,NA,,,,
x0.X.Y25,-37.80209581,NA,NA,NA,,,,
x0.X.Y26,-229.5023444,NA,NA,NA,,,,
x0.X.Y27,9.373968488,NA,NA,NA,,,,
x0.X.Y28,-43.24807417,NA,NA,NA,,,,
x0.X.Y29,-228.9653811,NA,NA,NA,,,,
x0.X.Y30,50.39872847,NA,NA,NA,,,,
x0.X.Y31,-24.27069859,NA,NA,NA,,,,
x0.X.Y32,-20.49463474,NA,NA,NA,,,,
