term,estimate,std.error,conf.low,conf.up,,Umin,Umax,Umean
R.diag,2.433315952,10.10733879,-17.37670406,22.24333596,,-0.097176335,13.84755006,2.030808532
U.X.Y1,0.087713166,2.233865495,-4.29058275,4.466009082,,,,
U.X.Y2,1.040311064,2.040560315,-2.959113661,5.039735788,,,,
U.X.Y3,1.174314553,2.038077365,-2.82024368,5.168872785,,,,
U.X.Y4,0.396857562,2.233418005,-3.98056129,4.774276414,,,,
U.X.Y5,1.780838954,5.037257195,-8.092003729,11.65368164,,,,
U.X.Y6,-0.081031153,2.399854335,-4.784659219,4.622596912,,,,
U.X.Y7,2.09926829,2.038394172,-1.895910873,6.094447452,,,,
U.X.Y8,1.416179368,2.887528839,-4.24327316,7.075631896,,,,
U.X.Y9,0.512223215,2.887528839,-5.147229313,6.171675743,,,,
U.X.Y10,0.468949341,2.234600051,-3.910786279,4.84868496,,,,
U.X.Y11,1.882018396,2.038077616,-2.112540329,5.87657712,,,,
U.X.Y12,0.660063276,2.887528839,-4.999389252,6.319515804,,,,
U.X.Y13,1.061231437,2.887528839,-4.598221091,6.720683964,,,,
U.X.Y14,5.270153775,2.039470534,1.27286498,9.267442569,,,,
U.X.Y15,0.327743119,1.983547197,-3.559937948,4.215424186,,,,
U.X.Y16,1.215186602,1.983540294,-2.672480936,5.102854141,,,,
U.X.Y17,0.70237015,1.984297047,-3.186780595,4.591520896,,,,
U.X.Y18,0.061666461,1.983535947,-3.825992557,3.94932548,,,,
U.X.Y19,1.274142359,2.498574135,-3.622972959,6.171257676,,,,
U.X.Y20,2.281868795,2.097388,-1.828936147,6.392673736,,,,
U.X.Y21,0.596356814,2.097411234,-3.514493665,4.707207293,,,,
U.X.Y22,1.897011508,1.98434044,-1.992224287,5.786247303,,,,
U.X.Y23,-0.097176335,2.234324591,-4.476372064,4.282019393,,,,
U.X.Y24,3.038256905,1.985966499,-0.854165907,6.930679717,,,,
U.X.Y25,0.962741585,2.233444431,-3.414729062,5.340212231,,,,
U.X.Y26,13.84755006,3.277541528,7.423686706,20.27141341,,,,
U.X.Y27,1.797893406,1.983554235,-2.089801456,5.685588268,,,,
U.X.Y28,3.625721559,1.983847984,-0.262549042,7.513992159,,,,
U.X.Y29,11.10059731,3.068265849,5.086906748,17.11428787,,,,
