term,estimate,std.error,conf.low,conf.up,,Umin,Umax
U.X.Y1,0.295660027,2.608746885,-4.817389912,5.408709965,,0.060223731,7.535541709
U.X.Y2,1.178867757,1.153694127,-1.082331181,3.440066696,,,
U.X.Y3,0.790798131,1.110992789,-1.386707722,2.968303984,,,
U.X.Y4,0.231413076,0.718513363,-1.176847237,1.639673389,,,
U.X.Y5,1.096282506,0.521609934,0.073945822,2.11861919,,,
U.X.Y6,2.184034376,2.345913261,-2.413871126,6.781939879,,,
U.X.Y7,0.061292976,2.507643326,-4.853597628,4.97618358,,,
U.X.Y8,1.24088957,1.20631017,-1.123434916,3.605214057,,,
U.X.Y9,0.527547194,0.914810677,-1.265448786,2.320543175,,,
U.X.Y10,0.333699905,0.41711934,-0.483838979,1.151238789,,,
U.X.Y11,1.355140606,1.642028211,-1.863175549,4.57345676,,,
U.X.Y12,0.382883468,1.041008621,-1.657455936,2.423222872,,,
U.X.Y13,0.934517418,0.777197312,-0.588761321,2.457796158,,,
U.X.Y14,0.321657465,0.841989351,-1.328611339,1.971926269,,,
U.X.Y15,1.021220635,0.841990971,-0.629051345,2.671492614,,,
U.X.Y16,2.322590164,2.82285612,-3.210106165,7.855286493,,,
U.X.Y17,0.240086429,0.344057615,-0.434254106,0.914426964,,,
U.X.Y18,2.771256487,1.31251414,0.198776045,5.34373693,,,
U.X.Y19,0.157318242,0.530991561,-0.883406095,1.198042578,,,
U.X.Y20,1.460697367,0.727855237,0.034127316,2.887267419,,,
U.X.Y21,1.26339334,0.626203033,0.036057949,2.490728731,,,
U.X.Y22,0.060223731,0.096430797,-0.128777159,0.249224621,,,
U.X.Y23,0.498611525,1.554542667,-2.548236115,3.545459165,,,
U.X.Y24,3.28237609,1.097782376,1.13076217,5.433990009,,,
U.X.Y25,2.206956523,0.982821511,0.280661759,4.133251287,,,
U.X.Y26,0.288999014,0.318927375,-0.336087155,0.914085183,,,
U.X.Y27,7.535541709,2.053529011,3.510698807,11.56038461,,,
U.X.Y28,1.405314471,1.754924929,-2.034275186,4.844904127,,,
U.X.Y29,2.345506601,1.392485917,-0.383715646,5.074728848,,,
U.X.Y30,2.471812153,1.420855288,-0.313013037,5.256637344,,,
U.X.Y31,0.12921115,0.212326283,-0.286940717,0.545363017,,,
U.X.Y32,1.781208472,0.7131546,0.383451141,3.178965803,,,
U.X.Y33,1.223934063,0.705001642,-0.157843765,2.605711891,,,
U.X.Y34,0.654281024,4.364296861,-7.899583642,9.20814569,,,
U.X.Y35,2.658298739,1.94850953,-1.160709763,6.477307242,,,
U.X.Y36,3.701284069,2.046812294,-0.310394311,7.712962449,,,
U.X.Y37,2.013405339,1.197614827,-0.33387659,4.360687267,,Qmin,Qmax
"Q.(X.Y1,X.Y1)",170.1390077,66.73400925,39.34275302,300.9352624,,0.232472467,438.0830032
"Q.(X.Y2,X.Y2)",33.27525348,13.05162822,7.694532236,58.85597472,,,
"Q.(X.Y3,X.Y3)",30.85762442,14.54642365,2.347157957,59.36809088,,,
"Q.(X.Y4,X.Y4)",12.9065363,5.062360035,2.984492957,22.82857965,,,
"Q.(X.Y5,X.Y5)",6.801923079,2.667933732,1.572869052,12.03097711,,,
"Q.(X.Y6,X.Y6)",137.5827257,58.66547136,22.60051471,252.5649367,,,
"Q.(X.Y7,X.Y7)",157.2068762,64.17943847,31.41748828,282.9962642,,,
"Q.(X.Y8,X.Y8)",36.37960563,14.26925531,8.41237914,64.34683212,,,
"Q.(X.Y9,X.Y9)",20.92196439,8.206269592,4.837971544,37.00595724,,,
"Q.(X.Y10,X.Y10)",4.349713596,1.706098039,1.005822886,7.693604306,,,
"Q.(X.Y11,X.Y11)",62.01390282,29.23363414,4.717032766,119.3107729,,,
"Q.(X.Y12,X.Y12)",27.0924737,10.62654247,6.264833186,47.92011422,,,
"Q.(X.Y13,X.Y13)",15.10089153,6.16491315,3.017883784,27.18389927,,,
"Q.(X.Y14,X.Y14)",17.7236517,6.951788144,4.09839731,31.34890609,,,
"Q.(X.Y15,X.Y15)",17.7237199,6.951814894,4.09841308,31.34902672,,,
