term,estimate,std.error,conf.low,conf.up,,Umin,Umax
"Q.(X.Y39,X.Y39)",69.16625076,18.16394732,33.56556819,104.7669333,,,
x0.X.Y1,4.673859406,19.94807921,-34.4236574,43.77137622,,,
x0.X.Y2,2.944253465,34.60085827,-64.87218258,70.76068951,,,
x0.X.Y3,17.15430495,11.78683032,-5.947457969,40.25606787,,,
x0.X.Y4,40.65158172,32.35955209,-22.77197493,104.0751384,,,
x0.X.Y5,11.49833465,7.746376226,-3.68428376,26.68095307,,,
x0.X.Y6,9.243075248,15.5713565,-21.27622269,39.76237318,,,
x0.X.Y7,34.17142772,8.53851833,17.43623932,50.90661613,,,
x0.X.Y8,4.857645176,91.8636171,-175.1917358,184.9070262,,,
x0.X.Y9,29.27905941,13.61249144,2.599066444,55.95905237,,,
x0.X.Y10,68.18242329,16.93582655,34.98881321,101.3760334,,,
x0.X.Y11,26.81594819,11.49083404,4.294327314,49.33756907,,,
x0.X.Y12,16.92842966,40.01270357,-61.49502825,95.35188757,,,
x0.X.Y13,4.670750495,8.034779418,-11.07712779,20.41862878,,,
x0.X.Y14,39.69200757,23.77959223,-6.915136766,86.2991519,,,
x0.X.Y15,36.83789369,15.96253489,5.55190021,68.12388718,,,
x0.X.Y16,34.65211089,30.72837855,-25.57440438,94.87862616,,,
x0.X.Y17,6.931888659,5.12219554,-3.107430121,16.97120744,,,
x0.X.Y18,16.62200361,31.22751293,-44.58279706,77.82680428,,,
x0.X.Y19,-28.30416028,76.51059677,-178.2621744,121.6538538,,,
x0.X.Y20,-5.608693651,5.945708778,-17.26206872,6.044681416,,,
x0.X.Y21,-36.56462872,45.90488992,-126.5365597,53.40730225,,,
x0.X.Y22,43.30829901,12.30685676,19.187303,67.42929502,,,
x0.X.Y23,2.44029703,2.087824613,-1.651764017,6.532358076,,,
x0.X.Y24,67.36099793,34.70385482,-0.657307644,135.3793035,,,
x0.X.Y25,-18.56077574,81.94791218,-179.1757322,142.0541807,,,
x0.X.Y26,-34.82032761,75.60595398,-183.0052744,113.3646192,,,
x0.X.Y27,27.23657035,10.30693141,7.035356004,47.4377847,,,
x0.X.Y28,22.18930693,39.59780338,-55.42096156,99.79957542,,,
x0.X.Y29,48.12402061,27.17839855,-5.144661709,101.3927029,,,
x0.X.Y30,6.809313861,23.42519506,-39.10322478,52.7218525,,,
x0.X.Y31,3.754993069,32.77934796,-60.49134837,68.00133451,,,
x0.X.Y32,58.56630721,31.7211517,-3.606007671,120.7386221,,,
x0.X.Y33,-5.456635644,27.40901963,-59.17732698,48.26405569,,,
x0.X.Y34,23.03826598,16.85426418,-9.995484796,56.07201675,,,
x0.X.Y35,40.89020618,15.18975454,11.11883434,70.66157802,,,
x0.X.Y36,62.98183673,54.03014997,-42.91531128,168.8789847,,,
x0.X.Y37,16.05763884,88.40252371,-157.2081238,189.3234014,,,
x0.X.Y38,11.466518,100.0389972,-184.6063136,207.5393496,,,
x0.X.Y39,12.84941681,59.39258193,-103.5579047,129.2567383,,,
