ID,run_date,run_minutes,observations,completeness,AIC,AICc,coef.det,sigma,df,logLik,convergence,errors,Q.diag,Q.offdiag,R.diag,U.1,Note
58.2018,4/29/25,0.303731553,51,0.9,2258.093783,2282.591561,0.851850006,110.5628033,52,-1077.046892,0,0,79.81921544,N/A,N/A,N/A,No Confidence Intervals calculated
58.2019,4/29/25,0.347045298,51,0.9,2873.53494,2892.283239,0.874262191,158.4308764,52,-1384.76747,0,0,86.22743701,N/A,N/A,N/A,No Confidence Intervals calculated
58.2021,4/29/25,0.242814982,51,0.9,4236.875116,4249.45959,0.653280372,560.2021332,52,-2066.437558,0,0,136.3093563,N/A,N/A,N/A,No Confidence Intervals calculated
58.2024,4/29/25,0.412125099,51,0.9,5156.288343,5165.250945,0.891079885,147.5338151,52,-2526.144172,0,0,73.03773042,N/A,N/A,N/A,No Confidence Intervals calculated
