term,estimate,std.error,conf.low,conf.up,,Rmin,Rmax
"R.(Y36,Y36)",2.754875858,4.534478143,-6.132537991,11.64228971,,,
"R.(Y37,Y37)",115.7291259,99.0987086,-78.50077389,309.9590256,,,
"R.(Y38,Y38)",0.003306687,3.351055935,-6.564642255,6.57125563,,,
"R.(Y39,Y39)",0.001389817,4.540984504,-8.898776265,8.901555898,,,
"R.(Y40,Y40)",0.002010581,5.637150342,-11.04660107,11.05062223,,,
"R.(Y41,Y41)",1752.640417,780.3018157,223.2769615,3282.003873,,,
"R.(Y42,Y42)",49.69444963,27.45440554,-4.115196437,103.5040957,,,
"R.(Y43,Y43)",0.002099064,3.555023948,-6.965619837,6.969817966,,,
"R.(Y44,Y44)",0.002581114,3.363921472,-6.590583817,6.595746045,,,
"R.(Y45,Y45)",0.002721026,3.681365222,-7.212622223,7.218064276,,,
"R.(Y46,Y46)",843.3122959,530.1775914,-195.8166887,1882.441281,,,
"R.(Y47,Y47)",0.001496952,5.023955092,-9.845274088,9.848267992,,,
"R.(Y48,Y48)",0.001376552,4.574304563,-8.964095646,8.966848749,,,
"R.(Y49,Y49)",1679.387549,746.4016599,216.4671779,3142.307921,,,
"R.(Y50,Y50)",155.5315088,72.67027849,13.10038023,297.9626374,,,
"R.(Y51,Y51)",104.9408433,53.02234068,1.018965248,208.8627214,,,
"R.(Y52,Y52)",0.030713513,4.359996043,-8.514721703,8.57614873,,,
Q.diag,59.43841003,16.0568127,27.96763543,90.90918463,,,
Q.offdiag,38.04515686,15.8278705,7.023100728,69.06721299,,,
x0.X.Y1,16.92489738,11.92452801,-6.446748041,40.29654281,,,
x0.X.Y2,19.72806542,15.89053619,-11.4168132,50.87294404,,,
x0.X.Y3,16.63985624,7.709722959,1.529076906,31.75063557,,,
x0.X.Y4,11.22561017,7.710128842,-3.885964678,26.33718501,,,
x0.X.Y5,39.78932548,9.349406576,21.46482532,58.11382565,,,
x0.X.Y6,52.41275324,19.71580257,13.77049027,91.05501621,,,
x0.X.Y7,9.584824828,7.709718449,-5.525945664,24.69559532,,,
x0.X.Y8,11.6272587,7.71039757,-3.484842842,26.73936025,,,
x0.X.Y9,27.78469226,7.709721661,12.67391547,42.89546905,,,
x0.X.Y10,12.17351895,12.15206951,-11.64409963,35.99113753,,,
x0.X.Y11,27.23641388,7.710044728,12.1250039,42.34782387,,,
x0.X.Y12,28.48149055,9.86109422,9.154101029,47.80888007,,,
x0.X.Y13,27.90280859,11.43256414,5.49539463,50.31022255,,,
x0.X.Y14,8.2681449,12.12929962,-15.50484551,32.04113531,,,
x0.X.Y15,26.04529778,7.70972401,10.93451639,41.15607917,,,
x0.X.Y16,41.384894,7.709739209,26.27408282,56.49570518,,,
x0.X.Y17,12.06960197,7.70972413,-3.041179654,27.1803836,,,
x0.X.Y18,53.76846451,16.27687445,21.86637681,85.67055222,,,
x0.X.Y19,63.16547731,13.12694485,37.43713818,88.89381644,,,
x0.X.Y20,41.03500899,17.25959063,7.206832956,74.86318502,,,
x0.X.Y21,51.39870402,7.710565939,36.28627248,66.51113556,,,
x0.X.Y22,26.27828977,7.764394407,11.06035637,41.49622317,,,
x0.X.Y23,8.264579553,7.709731066,-6.846215667,23.37537477,,,
x0.X.Y24,18.89462083,7.709773593,3.783742255,34.0054994,,,
x0.X.Y25,16.89004554,7.709711856,1.779287967,32.00080311,,,
x0.X.Y26,69.95979283,7.818962898,54.63490715,85.28467851,,,
x0.X.Y27,6.838559825,7.709804453,-8.27237923,21.94949888,,,
x0.X.Y28,13.39116824,10.62282607,-7.429188267,34.21152474,,,
x0.X.Y29,0.410122082,7.70998943,-14.70117952,15.52142369,,,
x0.X.Y30,-7.815824918,8.002955059,-23.5013286,7.869678767,,,
x0.X.Y31,-15.82062584,7.709962836,-30.93187532,-0.709376364,,,
x0.X.Y32,38.90566714,15.10880177,9.292959826,68.51837446,,,
x0.X.Y33,34.67480642,7.7097129,19.56404681,49.78556604,,,
x0.X.Y34,-1.251480235,7.709793478,-16.36239778,13.85943731,,,
x0.X.Y35,48.60671567,7.71160971,33.49223837,63.72119296,,,
x0.X.Y36,8.896245915,7.868656938,-6.52603829,24.31853012,,,
x0.X.Y37,56.59827356,10.1224635,36.75860967,76.43793744,,,
x0.X.Y38,9.394617044,7.709845409,-5.716402283,24.50563637,,,
x0.X.Y39,17.80512352,7.709721121,2.694347788,32.91589924,,,
x0.X.Y40,20.92115429,10.17754443,0.973533748,40.86877483,,,
x0.X.Y41,106.1388909,16.78691382,73.2371444,139.0406374,,,
x0.X.Y42,7.213206404,9.127839812,-10.67703088,25.10344369,,,
x0.X.Y43,-14.1814745,7.70976711,-29.29234037,0.929391362,,,
x0.X.Y44,-27.36210153,7.709798366,-42.47302865,-12.2511744,,,
x0.X.Y45,-0.706491705,7.709807437,-15.81743661,14.4044532,,,
x0.X.Y46,37.42045558,15.29306131,7.446606205,67.39430495,,,
x0.X.Y47,-0.63490334,7.709728068,-15.74569268,14.475886,,,
x0.X.Y48,16.5101217,7.709720261,1.399347654,31.62089574,,,
x0.X.Y49,51.54246221,16.73187407,18.74859164,84.33633278,,,
x0.X.Y50,29.04101435,10.39325468,8.670609495,49.4114192,,,
x0.X.Y51,33.8796154,9.887551648,14.50037027,53.25886053,,,
x0.X.Y52,22.27738336,7.711619872,7.162886149,37.39188057,,,
