ID,run_date,run_minutes,states,completeness,AIC,AICc,coef.det,sigma,df,logLik,convergence,errors,Q.diag,Q.offdiag,R.diag,U.1
44.2021,11/25/24,100.9967853,38,0.9,2963.230251,3073.478185,0.628147545,526.9819825,115,-1366.615125,10,1,0.823707396,N/A,N/A,N/A
44.2024,11/25/24,116.7233662,38,0.9,3652.90305,3731.837962,0.820563558,242.6230999,115,-1711.451525,10,1,27.85804072,N/A,N/A,N/A
43.2021,11/25/24,100.6670411,38,0.9,2830.234616,2942.865321,0.650759503,496.973271,116,-1299.117308,10,1,8.085578768,6.582421399,N/A,N/A
43.2024,11/25/24,114.5942175,38,0.9,3297.779428,3378.325422,0.841889359,207.2283899,116,-1532.889714,10,1,17.08170657,12.54007856,N/A,N/A
42.2021,11/25/24,109.7160563,38,0.9,2918.611959,3145.499764,0.674949268,476.7183522,152,-1307.30598,10,1,N/A,N/A,N/A,N/A
42.2024,11/25/24,124.5387312,38,0.9,3436.993506,3591.518423,0.897605374,147.0575902,152,-1566.496753,10,1,N/A,N/A,N/A,N/A
