"ID","run_date","run_minutes","states","completeness","AIC","AICc","coef.det","sigma","df","logLik","convergence","errors","Q.diag"
9,2024-11-19,4.52701263427734,39,0.82,9676.27022804448,9687.29028035485,0.700710759756209,386.483125194277,79,-4759.13511402224,0,0,"N/A"
10,2024-11-19,151.597561601798,39,0.82,9697.8157134626,9722.71381986476,0.699713136322818,387.462387140123,117,-4731.9078567313,10,1,"N/A"
11,2024-11-19,145.979479416211,39,0.82,9946.12030923803,9949.1709849137,0.837290384525683,213.278905705792,42,-4931.06015461901,10,1,"111.892662982743"
12,2024-11-19,148.239007496834,39,0.82,9489.59990508455,9500.9088056081,0.723703529378037,346.825922019008,80,-4664.79995254227,10,1,"35.03305105184"
13,2024-11-19,146.018221684297,39,0.82,10491.7825200279,10494.6888491418,0.701215278807204,385.959174948699,41,-5204.89126001396,10,1,"113.115717195752"
14,2024-11-19,147.74430270195,39,0.82,10273.098611382,10284.1186636923,0.519213777429313,576.778386665354,79,-5057.54930569098,10,1,"23.7411268571031"
15,2024-11-19,9.96012036800385,48,0.88,10983.1693932853,10998.2702669946,0.646776085226861,490.596271466497,97,-5394.58469664264,0,0,"N/A"
16,2024-11-19,286.264968283971,48,0.88,11014.0740372137,11048.5294827583,0.647823341792398,486.238416116544,144,-5363.03701860687,10,1,"N/A"
17,2024-11-19,278.359856983026,48,0.88,11189.667975078,11193.732342894,0.819346006789246,247.07237448745,51,-5543.83398753898,10,1,"130.210230075787"
18,2024-11-19,278.857905431589,48,0.88,10724.4899542705,10739.9144375774,0.701064030706061,393.039887154392,98,-5264.24497713527,10,1,"36.9826516475191"
19,2024-11-19,273.841699548562,48,0.88,11902.4744058196,11906.3794594184,0.647217768628955,490.138040464827,50,-5901.23720290979,10,1,"134.981129264725"
20,2024-11-19,279.20843124787,48,0.88,11626.4628583202,11641.5637320295,0.532252717121683,603.369321653134,97,-5716.23142916011,10,1,"44.0168726340673"
