term,estimate,std.error,conf.low,conf.up,,Umin,Umax
U.X.Y1,0.295660027,1.489390686,-2.623492077,3.21481213,,0.060223731,7.535541709
U.X.Y2,1.178867757,1.489390686,-1.740284346,4.098019861,,,
U.X.Y3,0.790798131,1.489390686,-2.128353972,3.709950234,,,
U.X.Y4,0.231413076,1.489390686,-2.687739027,3.150565179,,,
U.X.Y5,1.096282506,1.489390686,-1.822869597,4.015434609,,,
U.X.Y6,2.184034376,1.489390686,-0.735117727,5.10318648,,,
U.X.Y7,0.061292976,1.489390686,-2.857859127,2.980445079,,,
U.X.Y8,1.24088957,1.489390686,-1.678262533,4.160041674,,,
U.X.Y9,0.527547194,1.489390686,-2.391604909,3.446699297,,,
U.X.Y10,0.333699905,1.489390686,-2.585452198,3.252852008,,,
U.X.Y11,1.355140606,1.552797131,-1.688285846,4.398567057,,,
U.X.Y12,0.382883468,1.489390686,-2.536268635,3.302035571,,,
U.X.Y13,0.934517418,1.489390686,-1.984634685,3.853669521,,,
U.X.Y14,0.321657465,1.489390686,-2.597494638,3.240809568,,,
U.X.Y15,1.021220635,1.489390686,-1.897931469,3.940372738,,,
U.X.Y16,2.322590164,1.489390686,-0.596561939,5.241742267,,,
U.X.Y17,0.240086429,1.489390686,-2.679065674,3.159238533,,,
U.X.Y18,2.771256487,1.489390686,-0.147895616,5.690408591,,,
U.X.Y19,0.157318242,1.552797131,-2.88610821,3.200744693,,,
U.X.Y20,1.460697367,1.489390686,-1.458454736,4.379849471,,,
U.X.Y21,1.26339334,1.489390686,-1.655758763,4.182545443,,,
U.X.Y22,0.060223731,1.489390686,-2.858928372,2.979375834,,,
U.X.Y23,0.498611525,1.489390686,-2.420540578,3.417763628,,,
U.X.Y24,3.28237609,1.489390686,0.363223987,6.201528193,,,
U.X.Y25,2.206956523,1.489390686,-0.71219558,5.126108627,,,
U.X.Y26,0.288999014,1.708448286,-3.059498096,3.637496124,,,
U.X.Y27,7.535541709,1.489390686,4.616389606,10.45469381,,,
U.X.Y28,1.405314471,1.489390686,-1.513837633,4.324466574,,,
U.X.Y29,2.345506601,1.489390686,-0.573645502,5.264658705,,,
U.X.Y30,2.471812153,1.489390686,-0.44733995,5.390964257,,,
U.X.Y31,0.12921115,1.489390686,-2.789940953,3.048363253,,,
U.X.Y32,1.781208472,1.489390686,-1.137943631,4.700360575,,,
U.X.Y33,1.223934063,1.552797131,-1.819492388,4.267360515,,,
U.X.Y34,0.654281024,1.552797131,-2.389145428,3.697707476,,,
U.X.Y35,2.658298739,1.552797131,-0.385127712,5.701725191,,,
U.X.Y36,3.701284069,1.552797131,0.657857617,6.744710521,,,
U.X.Y37,2.013405339,1.552797131,-1.030021113,5.05683179,,,
Q.diag,55.45711538,3.680818027,48.24284461,62.67138615,,,
x0.X.Y1,-4.354200232,43.06374273,-88.75758503,80.04918457,,,
x0.X.Y2,-31.27128452,43.06374273,-115.6746693,53.13210028,,,
x0.X.Y3,-9.240462086,43.06374273,-93.64384688,75.16292271,,,
x0.X.Y4,-0.907215531,43.06374273,-85.31060033,83.49616927,,,
x0.X.Y5,-4.501627482,43.06374273,-88.90501228,79.90175732,,,
x0.X.Y6,-37.89888087,43.06374273,-122.3022657,46.50450392,,,
x0.X.Y7,0.668129042,43.06374273,-83.73525576,85.07151384,,,
x0.X.Y8,-15.75472371,43.06374273,-100.1581085,68.64866109,,,
x0.X.Y9,20.71359996,43.06374273,-63.68978484,105.1169848,,,
x0.X.Y10,1.047225664,43.06374273,-83.35615913,85.45061046,,,
x0.X.Y11,22.76019281,47.20094629,-69.75196196,115.2723476,,,
x0.X.Y12,6.103317302,43.06374273,-78.3000675,90.5067021,,,
x0.X.Y13,-26.15468695,43.06374273,-110.5580717,58.24869785,,,
x0.X.Y14,5.862255859,43.06374273,-78.54112894,90.26564066,,,
x0.X.Y15,-16.46430536,43.06374273,-100.8676902,67.93907944,,,
x0.X.Y16,-36.73530204,43.06374273,-121.1386868,47.66808276,,,
x0.X.Y17,0.846215688,43.06374273,-83.55716911,85.24960049,,,
x0.X.Y18,-52.33716489,43.06374273,-136.7405497,32.06621991,,,
x0.X.Y19,-11.10796306,43.86480122,-97.08139363,74.86546751,,,
x0.X.Y20,-47.31233987,43.06374273,-131.7157247,37.09104493,,,
x0.X.Y21,-2.314437376,43.06374273,-86.71782217,82.08894742,,,
x0.X.Y22,-3.599968031,43.06374273,-88.00335283,80.80341677,,,
x0.X.Y23,-8.239205556,43.06374273,-92.64259035,76.16417924,,,
x0.X.Y24,-54.77153066,43.06374273,-139.1749155,29.63185414,,,
x0.X.Y25,-47.29277301,43.06374273,-131.6961578,37.11061179,,,
x0.X.Y26,35.82998488,56.66281939,-75.22710038,146.8870701,,,
x0.X.Y27,-141.5689206,43.06374273,-225.9723054,-57.16553582,,,
x0.X.Y28,-28.14484387,43.06374273,-112.5482287,56.25854092,,,
x0.X.Y29,-64.01704605,43.06374273,-148.4204308,20.38633875,,,
x0.X.Y30,-77.21494055,43.06374273,-161.6183253,7.188444252,,,
x0.X.Y31,-4.870460175,43.06374273,-89.27384497,79.53292462,,,
x0.X.Y32,-43.65971861,43.06374273,-128.0631034,40.74366619,,,
x0.X.Y33,-9.103791608,47.20094629,-101.6159464,83.40836316,,,
x0.X.Y34,-10.03907351,47.20094629,-102.5512283,82.47308126,,,
x0.X.Y35,-46.7186935,43.86480122,-132.6921241,39.25473707,,,
x0.X.Y36,-63.1750168,43.86480122,-149.1484474,22.79841377,,,
x0.X.Y37,-26.22204511,43.86480122,-112.1954757,59.75138547,,,
